hid,pid,sample_geo,ptotals,prtotals,pworker,rpworker,rpage,rpsex
2788,3,2303,1,1,2,2,4,1
2788,4,2303,1,1,2,2,3,1
2852,1,905,1,1,2,2,7,1
2887,1,1903,1,1,1,1,11,2
2887,2,1903,1,1,1,1,5,1
2920,1,1503,1,1,2,2,14,1
2920,2,1503,1,1,2,2,14,2
2957,1,303,1,1,2,2,17,1
2957,2,303,1,1,2,2,14,2
2991,1,800,1,1,1,1,8,1
2991,2,800,1,1,1,1,6,2
2991,3,800,1,1,2,2,3,1
3027,1,2400,1,1,2,2,16,2
3086,1,1600,1,1,2,2,17,2
3089,1,2201,1,1,2,2,14,1
3089,2,2201,1,1,2,2,13,2
3089,3,2201,1,1,1,1,7,1
3109,1,2202,1,1,1,1,11,1
3109,2,2202,1,1,2,2,4,1
3154,1,307,1,1,1,1,11,2
3154,2,307,1,1,2,2,5,1
3154,3,307,1,1,2,2,16,2
3172,1,1104,1,1,1,1,9,2
3172,2,1104,1,1,2,2,2,1
3204,1,800,1,1,2,2,11,2
3256,1,2400,1,1,2,2,15,2
3347,1,1301,1,1,1,1,8,2
3347,2,1301,1,1,2,2,4,1
3347,3,1301,1,1,2,2,4,1
3347,4,1301,1,1,2,2,3,1
3347,5,1301,1,1,2,2,2,2
3347,6,1301,1,1,2,2,1,1
3347,7,1301,1,1,1,1,8,1
3452,1,2103,1,1,1,1,12,1
3452,2,2103,1,1,1,1,14,2
3452,3,2103,1,1,1,1,6,2
3452,4,2103,1,1,1,1,6,1
3473,1,1503,1,1,1,1,11,1
3473,2,1503,1,1,1,1,9,1
3485,1,906,1,1,2,2,17,2
3485,2,906,1,1,1,1,12,2
3509,1,2302,1,1,1,1,8,2
3509,2,2302,1,1,1,1,7,1
3509,3,2302,1,1,2,2,1,2
3509,4,2302,1,1,2,2,1,1
3513,1,2003,1,1,2,2,4,1
3515,1,1904,1,1,1,1,14,1
3626,1,1103,1,1,1,1,7,2
3626,2,1103,1,1,2,2,4,1
3626,3,1103,1,1,2,2,2,2
3639,1,2001,1,1,1,1,11,1
3639,2,2001,1,1,1,1,11,2
3639,3,2001,1,1,1,1,6,1
3639,4,2001,1,1,1,1,6,2
3669,1,800,1,1,2,2,15,1
3679,1,906,1,1,2,2,16,1
3679,2,906,1,1,2,2,16,2
3689,1,302,1,1,2,2,17,2
