variable_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo,,,
3478,3.251770733,0,3.251770733
3479,1157.869285,700.4535353,457.4157498
3480,0,0,0
3481,20.96004714,12.28865851,8.671388622
3482,35.77576502,18.43298777,17.34277724
3483,187.9157129,104.4535974,83.46211549
3484,1.083923578,0,1.083923578
3485,1540.9968,1495.472009,45.52479027
3486,0,0,0
3487,6.503541467,0,6.503541467
3488,49.15463405,49.15463405,0
3489,68.6715454,67.58762182,1.083923578
3490,24.57731703,24.57731703,0
3491,0,0,0
3492,3.251770733,0,3.251770733
3493,28.18201302,0,28.18201302
3494,1.083923578,0,1.083923578
3495,0,0,0
3496,2.167847156,0,2.167847156
3497,0,0,0
3498,186.4348554,0,186.4348554
3499,0,0,0
3500,0,0,0
3501,0,0,0
3502,0,0,0
3503,0,0,0
3504,0,0,0
3505,10.48002357,6.144329257,4.335694311
3506,0,0,0
3507,24.57731703,24.57731703,0
3508,9.39609999,6.144329257,3.251770733
3509,467.6308654,288.7834751,178.8473903
3510,9.39609999,6.144329257,3.251770733
3511,434.6533547,0,434.6533547
3512,0,0,0
3513,0,0,0
3514,5.419617889,0,5.419617889
3515,54.93346415,43.0103048,11.92315936
3516,0,0,0
3517,67.94054709,43.0103048,24.93024229
3518,0,0,0
3519,0,0,0
3520,0,0,0
3521,0,0,0
3522,2.167847156,0,2.167847156
3523,5.419617889,0,5.419617889
3524,0,0,0
3525,10.48002357,6.144329257,4.335694311
3526,19.66619946,9.91088726,9.7553122
3527,2.167847156,0,2.167847156
3528,0,0,0
3529,10.83923578,0,10.83923578
3530,0,0,0
3531,8.312176412,6.144329257,2.167847156
3532,41.18909596,0,41.18909596
3533,7.587465045,0,7.587465045
3534,13.00708293,0,13.00708293
3535,3.251770733,0,3.251770733
3536,2.167847156,0,2.167847156
3537,0,0,0
3538,6.503541467,0,6.503541467
3539,2.167847156,0,2.167847156
3540,3.251770733,0,3.251770733
3541,0,0,0
3542,2.167847156,0,2.167847156
3543,2.167847156,0,2.167847156
3544,9.7553122,0,9.7553122
3545,0,0,0
3546,3501.073156,0,3501.073156
3547,16.25885367,0,16.25885367
3548,0,0,0
3549,0,0,0
3550,6.503541467,0,6.503541467
3551,1.083923578,0,1.083923578
3552,20.59454798,0,20.59454798
3553,21.67847156,0,21.67847156
3554,94.30135127,0,94.30135127
3555,11.92315936,0,11.92315936
3556,10.83923578,0,10.83923578
3557,24.93024229,0,24.93024229
3558,13.00708293,0,13.00708293
3559,2138.581219,0,2138.581219
3560,101.8888163,0,101.8888163
3561,37.93732522,0,37.93732522
3562,307.2164628,307.2164628,0
3563,5.419617889,0,5.419617889
3564,9.7553122,0,9.7553122
3565,14.09100651,0,14.09100651
3566,41.18909596,0,41.18909596
3567,14.09100651,0,14.09100651
3568,36.85340165,0,36.85340165
3569,0,0,0
3570,0,0,0
3571,10.63608605,0,10.63608605
3572,0,0,0
3573,0,0,0
3574,0,0,0
3575,0,0,0
3576,5.908936693,0,5.908936693
3577,0,0,0
3578,0,0,0
3579,9.454298709,0,9.454298709
3580,0,0,0
3581,2.363574677,0,2.363574677
3582,0,0,0
3583,0,0,0
3584,1.181787339,0,1.181787339
3585,0,0,0
3586,1.181787339,0,1.181787339
3587,0,0,0
3588,0,0,0
3589,2.363574677,0,2.363574677
3590,0,0,0
3591,0,0,0
3592,7.090724032,0,7.090724032
3593,0,0,0
3594,1.181787339,0,1.181787339
3595,66.09369089,48.36688081,17.72681008
3596,10.63608605,0,10.63608605
3597,793.5377486,789.9923866,3.545362016
3598,0,0,0
3599,0,0,0
3600,0,0,0
3601,3.545362016,0,3.545362016
3602,3.545362016,0,3.545362016
3603,0,0,0
3604,2.363574677,0,2.363574677
3605,0,0,0
3606,0,0,0
3607,537.7132391,0,537.7132391
3608,0,0,0
3609,880.7103634,877.1650014,3.545362016
3610,0,0,0
3611,0,0,0
3612,148.3096754,112.8560552,35.45362016
3613,1.181787339,0,1.181787339
3614,0,0,0
3615,7.090724032,0,7.090724032
3616,2.363574677,0,2.363574677
3617,0,0,0
3618,0,0,0
3619,29.54468347,0,29.54468347
3620,178.4498881,0,178.4498881
3621,9.454298709,0,9.454298709
3622,9.454298709,0,9.454298709
3623,0,0,0
3624,0,0,0
3625,0,0,0
3626,29.54468347,0,29.54468347
3627,0,0,0
3628,0,0,0
3629,1.181787339,0,1.181787339
3630,3.545362016,0,3.545362016
3631,0,0,0
3632,141.8144806,0,141.8144806
3633,0,0,0
3634,105.1542297,81.67429671,23.47993303
3635,0,0,0
3636,0,0,0
3637,0,0,0
3638,30.72647081,0,30.72647081
3639,0,0,0
3640,20.09038476,0,20.09038476
3641,5.908936693,0,5.908936693
3642,0,0,0
3643,3.545362016,0,3.545362016
3644,17.72681008,0,17.72681008
3645,907.4687431,893.287295,14.18144806
3646,0,0,0
3647,2147.87531,564.2802761,1583.595034
3648,0,0,0
3649,457.3517001,0,457.3517001
3650,95.72477443,0,95.72477443
3651,0,0,0
3652,450.8765273,427.2407805,23.63574677
3653,0,0,0
3654,0,0,0
3655,0,0,0
3656,5.908936693,0,5.908936693
3657,0,0,0
3658,1.181787339,0,1.181787339
3659,0,0,0
3660,0,0,0
3661,0,0,0
3662,0,0,0
3663,2.363574677,0,2.363574677
3664,3.545362016,0,3.545362016
3665,14.18144806,0,14.18144806
3666,0,0,0
3667,0,0,0
3668,18.90859742,0,18.90859742
3669,0,0,0
3670,69.21632377,64.48917442,4.727149355
3671,289.537898,0,289.537898
3672,319.3232392,306.3235785,12.99966073
3673,1.181787339,0,1.181787339
3674,0,0,0
