varialbe_names,hhtotals,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4
geo,,,,,
2053029,4.749919743,0.624077047,0.658747994,0.962696629,2.504398074
2053036,78.32089888,10.29033708,10.86202247,15.87379775,41.29474157
2053042,82.33194222,10.81733547,11.41829856,16.68674157,43.40956661
2053048,327.8500161,43.07518459,45.4682504,66.44746067,172.8591204
2053041,264.3066453,34.72642055,36.65566613,53.5687191,139.3558395
2053053,0.211107544,0.027736758,0.029277689,0.042786517,0.111306581
2053056,1.266645265,0.166420546,0.175666132,0.256719101,0.667839486
2053057,107.0315249,14.06253612,14.84378812,21.69276404,56.4324366
2053013,0,0,0,0,0
2053007,11.18869984,1.470048154,1.551717496,2.267685393,5.899248796
2053030,4.538812199,0.596340289,0.629470305,0.919910112,2.393091493
2053003,282.5674478,37.12565008,39.1881862,57.26975281,148.9838587
2053046,191.3689888,25.14337079,26.54022472,38.78597753,100.8994157
2053052,53.19910112,6.989662921,7.377977528,10.78220225,28.04925843
2053055,72.1987801,9.485971108,10.0129695,14.63298876,38.06685072
2053044,71.24879615,9.361155698,9.881219904,14.44044944,37.56597111
2053050,74.62651685,9.80494382,10.34966292,15.12503371,39.3468764
2053040,47.18253612,6.199165329,6.543563403,9.562786517,24.87702087
2053047,71.67101124,9.416629213,9.939775281,14.52602247,37.78858427
2053045,128.6700482,16.90555377,17.8447512,26.07838202,67.84136116
2053049,15.72751204,2.066388443,2.181187801,3.187595506,8.292340289
2053054,13.40532905,1.761284109,1.859133226,2.71694382,7.067967897
2053051,191.4745425,25.15723917,26.55486356,38.80737079,100.955069
2053058,65.76,8.64,9.12,13.328,34.672
2053018,242.1403531,31.814061,33.58150883,49.07613483,127.6686485
2053023,345.7941573,45.43280899,47.95685393,70.08431461,182.3201798
2053004,0,0,0,0,0
2053006,0.844430177,0.11094703,0.117110754,0.171146067,0.445226324
2053024,0,0,0,0,0
2053043,31.45502408,4.132776886,4.362375602,6.375191011,16.58468058
2053002,0,0,0,0,0
2053001,0,0,0,0,0
2053005,88.03184591,11.56622793,12.20879615,17.84197753,46.4148443
2053011,82.7541573,10.87280899,11.47685393,16.77231461,43.63217978
2053017,138.8032103,18.23691814,19.25008026,28.13213483,73.18407705
2053038,512.1469021,67.289374,71.02767255,103.8000899,270.0297657
913002205,0,0,0,0,0
913002204,0,0,0,0,0
913002203,0,0,0,0,0
920000004,0,0,0,0,0
930000010,0,0,0,0,0
1065002,325.1809524,42.4952381,40.64761905,72.05714286,169.9809524
1065003,109.4217143,14.29942857,13.67771429,24.24685714,57.19771429
1065001,32.58514286,4.258285714,4.073142857,7.220571429,17.03314286
1065005,178.7489524,23.3592381,22.34361905,39.60914286,93.43695238
1065004,217.5024762,28.42361905,27.18780952,48.19657143,113.6944762
1065006,118.1379048,15.43847619,14.7672381,26.17828571,61.75390476
1065008,74.2887619,9.708190476,9.286095238,16.46171429,38.8327619
1065007,0.134095238,0.01752381,0.016761905,0.029714286,0.070095238
911002205,0,0,0,0,0
1004004,4.296496783,1.75957512,0.952098866,0.940046982,0.644775815
1004011,25.19640486,10.31886426,5.583495046,5.512817894,3.781227658
1004014,75.22510469,30.80747625,16.66979879,16.45878868,11.28904096
1004013,37.72178531,15.44847309,8.359105301,8.253293841,5.660913083
1004009,65.46695945,26.8111531,14.50740476,14.32376672,9.824634869
1004007,59.20426923,24.24634869,13.11959963,12.95352875,8.884792156
1004012,101.5866612,41.60351343,22.51149014,22.22653457,15.24512307
1004015,0.291287917,0.119293228,0.064549076,0.063731999,0.043713615
1004016,0,0,0,0,0
1004017,10.12225513,4.14543969,2.24308038,2.214686957,1.519048105
1004018,0.145643959,0.059646614,0.032274538,0.031865999,0.021856807
1004003,0,0,0,0,0
1004002,0,0,0,0,0
1004008,0,0,0,0,0
1004010,69.61781228,28.51108161,15.42722909,15.23194771,10.44755388
1004005,100.3486876,41.09651721,22.23715657,21.95567358,15.05934021
1004001,16.02083546,6.561127566,3.550199162,3.505259933,2.4042488
1004006,147.7557961,60.51149014,32.74251864,32.32805638,22.17373098
920000007,0,0,0,0,0
2083006,43.55394032,13.0661821,5.93917368,3.95944912,20.58913542
2083004,15.23335884,4.570007651,2.077276205,1.384850803,7.201224178
2083002,13.33970926,4.001912777,1.819051262,1.212700842,6.306044376
2083005,32.69701607,9.80910482,4.458684009,2.972456006,15.45677123
2083003,0.378729916,0.113618975,0.051644989,0.034429992,0.17903596
2083001,4.797245601,1.43917368,0.654169855,0.436113236,2.267788829
6075019,0,0,0,0,0
6075002,18.58002557,4.68107633,2.597035498,3.526838331,7.775075411
6075012,0.196797779,0.049581494,0.027507541,0.03735592,0.082352824
6075005,0.231526798,0.058331169,0.032361813,0.043948141,0.096885675
6075018,0,0,0,0,0
6075013,14.15786372,3.566950998,1.978924869,2.687428834,5.92455902
6075014,0.324137518,0.081663637,0.045306538,0.061527398,0.135639945
6075017,261.9378433,65.9929683,36.61253721,49.72072954,109.6116083
6075007,132.8963823,33.48209113,18.5756807,25.22623305,55.61237739
