varialbe_names,ltotals
variable_categories,1
geo,
5069027,0
5069048,0
5069055,0
5069015,0
5069007,0
5069012,0
5069002,0
5069005,0
5069009,0
5069006,0
5069003,0
5069024,0
5069018,0
5069029,0
5069025,0
5069020,0
5069013,0
5069010,0
5069004,0
5069016,0
5069022,0
5069026,0
5069023,0
5069014,0
5069011,0
5069030,0
5069019,0
5069032,0
5069035,0
5069031,0
5069054,0
5069051,0
5069040,0
5069052,0
5069053,0
5069050,0
5069049,0
5069046,0
5069045,0
5069043,0
5069047,0
5069044,0
5069037,0
5069036,0
5069039,0
5069042,0
5069038,0
5069033,0
5069041,0
5069008,0
5069017,0
5069021,0
5069028,0
5069034,0
930000009,0
914001015,0
5069001,0
1060003,0
1060004,0
1060005,0
1060006,0
1060007,0
1060009,0
1060010,0
1060001,0
1060008,0
1060002,0
914001010,0
914001008,0
1038003,77.66727441
1038005,64.02548148
1038009,18.37094781
1038013,0
1038010,56.56796801
1038008,168.0668889
1038011,23.82766498
1038016,227.3632155
1038014,14.36935522
1038019,72.39244781
1038020,258.4665034
1038024,100.5854865
1038028,188.8024141
1038027,250.099537
1038006,0
1038001,0
1038015,0
1038002,0
1038029,323.9471094
1038018,189.3480859
1038022,414.1648333
1038021,8.548856902
1038017,213.9033131
1038012,123.1399175
1038004,14.00557407
1038007,82.76021044
1038025,68.57274579
1038023,135.3265859
1038026,146.9675825
930000004,0
911201001,0
913001008,0
913001004,0
912001005,0
2053039,379.6251272
2053034,295.4325415
2053032,337.5288344
2053037,1279.196358
2053035,204.41353
2053031,502.8800386
2053028,449.4063693
2053026,600.3462301
2053022,536.632922
2053015,849.1315282
2053008,1005.760077
2053010,931.4278845
2053009,696.2954381
2053012,1236.341573
2053016,854.4409706
2053019,770.2483849
2053014,1229.135901
2053021,208.9644806
2053025,850.6485118
2053020,823.3428083
2053027,1942.87665
2053033,604.8971807
2053029,17.06606466
2053036,281.4004439
2053042,295.8117874
2053048,1177.937707
2053041,949.6316868
2053053,0.758491763
2053056,4.550950576
2053057,384.5553236
2053013,0
2053007,40.20006342
2053030,16.3075729
2053003,1015.241224
2053046,687.5727828
2053052,191.1399242
2053055,259.4041828
2053044,255.9909699
2053050,268.1268381
2053040,169.5229089
2053047,257.5079534
2053045,462.3007293
2053049,56.50763631
2053054,48.16422693
2053051,687.9520287
2053058,236.2701841
2053018,869.9900517
2053023,1242.409507
2053004,0
2053006,3.03396705
2053024,0
2053043,113.0152726
2053002,0
2053001,0
2053005,316.291065
2053011,297.3287709
2053017,498.7083339
2053038,1840.101016
913002205,0
913002204,0
913002203,0
920000004,0
930000010,0
1065002,802.1992381
1065003,269.9359086
1065001,80.38532571
1065005,440.9614781
1065004,536.563779
1065006,291.4381562
1065008,183.2653105
1065007,0.33080381
911002205,0
1004004,47.31663211
1004011,277.4839781
1004014,828.4420504
1004013,415.4239904
1004009,720.9771571
1004007,652.007151
1004012,1118.757658
1004015,3.207907262
1004016,0
1004017,111.4747773
1004018,1.603953631
1004003,0
1004002,0
1004008,0
1004010,766.6898356
1004005,1105.124052
1004001,176.4348994
1004006,1627.210959
920000007,0
2083006,810.2100139
2083004,283.377802
2083002,248.1512796
2083005,608.2446191
2083003,7.045304469
2083001,89.24052327
6075019,0
6075002,1522.223671
6075012,16.12324137
6075005,18.96851926
6075018,0
6075013,1159.924953
6075014,26.55592697
6075017,21460.03427
6075007,10887.93006
6075011,1124.833192
6075003,368.9376997
6075008,3114.630863
6075006,301.5994563
6075001,155.541858
6075010,973.0850383
6075009,1443.504316
6075015,1182.687176
6075004,251.3328803
6075016,50946.59747
1035004,0
1035007,16.81208852
1035006,299.230083
1035002,143.7809959
1035001,67.49928077
1035003,62.10435685
1035005,12.04448133
1035010,214.9187137
1035009,0
1035008,0
913002106,0
1034022,318.4501798
1034020,373.2325184
1034017,394.1656071
1034015,652.4888298
1034007,1146.866032
1034014,637.7911292
1034011,774.9696682
1034005,474.3348831
1034003,513.5287514
1034008,878.2989573
1034002,837.7689344
1034004,402.6279196
1034001,252.0878346
1034012,609.7318826
1034009,1643.915543
1034006,107.7831378
1034010,186.1708743
1034013,3209.44335
1034018,1162.009117
1034021,304.197864
1034023,775.8604379
1034019,407.972538
1034016,970.9390096
5070031,838.1918433
5070018,280.7713661
5070041,0
5070040,0
5070043,0
5070027,228.5561365
5070030,300.0085559
5070024,414.5156383
5070019,163.974142
5070022,582.6120353
5070029,0
5070033,0
5070034,0
5070036,0
5070016,0
5070014,0
5070012,0
5070049,4801.052951
5070047,774.0678771
5070050,26.56564312
5070052,16.03099154
5070051,6.870424945
5070010,0
5070008,695.2870044
5070007,91.1476376
5070006,191.4558418
5070001,1286.601578
5070003,11.45070824
5070002,600.4751402
5070011,2564.500618
5070005,40.30649301
5070042,897.7355261
5070044,0.916056659
5070032,5.954368286
5070023,0
5070020,158.4778021
5070037,0
5070048,349.9336439
5070039,25.19155813
5070045,138.7825839
5070038,0
5070021,3299.178058
5070013,1183.545204
5070004,0
5070015,0
5070009,1668.139177
5070025,1088.73334
5070028,1.832113319
5070035,955.905124
5070026,572.0773837
920000013,0
5070017,0
5070046,15.11493488
1041008,42.70257221
1041007,65.17392579
1041005,0.140008433
