variable_names,totpop,agep,agep,agep,agep,agep,agep,agep,agep,agep,agep,gender,gender,employment,employment,employment
variable_categories,1,1,2,3,4,5,6,7,8,9,10,1,2,1,2,3
region
41,627238.0,45338.0,90774.0,96018.0,88750.0,81829.0,93016.0,68677.0,35856.0,19671.0,7309.0,312662.0,314576.0,302032.93,128673.12,196531.95
119,23402.0,1086.0,2698.0,2368.0,1848.0,2819.0,4767.0,4728.0,2201.0,741.0,146.0,11911.0,11491.0,12746.929999999998,6468.050000000003,4187.02
