variable_names,hhldrtype,hhldrtype,hhldrtype,hhldrtype,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,hhldrage,hhldrage,hhldrage,hhldrage
variable_categories,1,2,3,4,1,2,3,4,5,6,7,1,2,3,4
region
41,63843.755999999994,14119.138999999997,93408.10900000001,66479.99699999999,62879.74087139512,81669.37851885856,37679.87962846388,32602.91750370848,14238.053708956753,5761.884557118321,3019.1462114988594,15069.001,87907.0,94278.0,40597.00000000001
119,2739.994,458.66999999999996,4348.686,2302.651,2335.47732366615,4697.122460482621,1152.4741041620543,1080.5126179986717,379.43329067965465,186.4456686960372,18.535534314810715,202.001,2257.0,5476.0,1915.0
