hid,sample_geo,hhldsize,hhldrtype,hhldrage,tazinc
2008000014169,808,4,4,2,3
2008000014180,804,4,4,3,3
2008000014202,103,3,3,3,2
2008000014207,600,1,1,4,1
2008000014336,822,2,3,3,3
2008000014345,101,4,4,2,2
2008000014356,821,4,2,2,2
2008000014389,200,2,3,3,3
2008000014495,905,2,3,4,2
2008000014581,813,1,1,4,2
2008000014601,103,2,3,3,2
2008000014928,400,2,3,3,3
2008000015009,808,1,1,2,1
2008000015052,818,5,4,2,2
2008000015172,813,1,1,2,1
2008000015182,802,1,1,2,2
2008000015190,815,1,1,2,1
2008000015297,811,4,3,3,3
2008000015304,818,1,1,4,1
2008000015308,904,5,4,2,2
2008000015355,819,1,1,3,2
2008000015441,812,1,1,3,3
2008000015464,804,1,1,3,2
2008000015472,501,2,3,3,2
2008000015720,801,1,1,1,1
2008000015733,804,3,4,3,3
2008000015842,600,1,1,4,1
2008000015901,904,4,4,2,2
2008000015960,820,4,4,3,3
2008000015984,200,6,4,3,2
2008000016004,101,2,3,3,1
2008000016028,400,2,3,3,2
2008000016081,814,1,1,2,2
2008000016108,200,3,4,2,2
2008000016114,501,3,2,3,2
2008000016174,905,2,3,2,2
2008000016232,101,1,1,4,1
2008000016346,501,4,2,2,2
2008000016414,902,2,3,3,2
2008000016419,812,2,3,3,2
2008000016556,902,6,4,2,2
2008000016614,804,1,1,3,3
2008000016647,819,3,4,2,3
2008000016715,902,1,1,2,2
2008000016991,808,6,4,2,2
2008000016992,300,1,1,4,2
2008000017140,804,2,3,3,2
2008000017163,806,2,3,4,2
2008000017181,902,3,3,3,3
2008000017240,700,2,3,3,3
2008000017461,810,1,1,2,1
2008000017475,816,1,1,4,2
2008000017600,501,3,4,3,2
2008000017624,600,7,4,3,2
2008000017690,819,2,3,4,2
2008000017701,501,2,3,4,2
2008000017738,815,2,3,3,3
2008000017753,806,1,1,2,2
2008000017778,806,1,1,3,2
2008000017797,400,2,3,4,2
2008000017844,811,2,3,3,2
2008000017855,901,3,3,3,3
2008000017859,808,3,4,2,3
2008000017906,902,1,1,3,2
2008000017972,502,2,3,4,1
2008000018196,820,1,1,4,3
2008000018227,905,1,1,3,2
2008000018278,820,2,3,3,3
2008000018299,804,2,3,3,3
2008000018327,822,2,3,3,2
2008000018352,813,5,3,3,2
2008000018419,904,4,4,3,2
2008000018479,804,3,4,2,2
2008000018486,102,5,4,3,3
2008000018580,600,2,3,1,2
2008000018585,811,2,3,4,3
2008000018595,102,4,4,2,3
2008000018624,101,2,3,3,2
2008000018672,102,3,3,3,2
2008000018682,803,1,1,2,1
2008000018761,103,2,3,3,2
2008000018867,200,1,1,3,2
2008000018942,812,2,3,2,3
2008000018962,816,1,1,4,1
2008000018970,803,1,1,3,2
2008000018990,501,6,4,2,2
2008000019089,905,2,3,2,2
2008000019134,815,3,4,2,2
2008000019152,200,3,4,2,3
2008000019173,812,2,3,2,3
2008000019220,815,1,1,3,2
2008000019253,814,2,2,2,2
2008000019304,200,4,2,2,1
2008000019322,807,3,3,3,3
2008000019390,816,1,1,3,2
2008000019410,501,1,1,2,2
2008000019471,809,3,4,3,2
2008000019517,814,1,1,2,2
2008000019555,806,1,1,3,2
2008000019695,817,2,3,3,2
2008000019809,101,1,1,3,2
2008000019898,821,3,4,2,2
2008000020024,502,2,3,4,3
2008000020040,901,4,4,3,3
2008000020172,102,2,3,2,2
2008000020218,818,4,3,3,2
2008000020251,816,2,3,4,2
2008000020376,803,2,3,2,2
2008000020412,600,2,3,3,3
2008000020619,809,6,3,4,3
2008000020778,807,4,4,2,2
2008000020784,813,2,3,2,2
2008000020808,821,1,1,3,2
2008000020855,1000,1,1,3,2
2008000020948,803,5,4,2,2
2008000020956,600,4,4,3,3
2008000020981,600,3,4,2,2
2008000021058,815,5,4,3,3
2008000021069,806,1,1,2,2
2008000021124,817,4,4,2,2
2008000021136,818,1,1,4,2
2008000021148,103,1,1,4,1
2008000021185,903,2,3,3,3
2008000021256,502,4,4,1,2
2008000021361,400,1,1,3,2
2008000021424,102,2,3,4,2
2008000021452,400,2,3,4,2
2008000021509,802,4,4,3,3
2008000021538,816,4,4,2,2
2008000021561,300,1,1,3,1
2008000021789,102,4,4,4,3
2008000021951,502,5,4,2,2
2008000022096,820,2,3,4,2
2008000022136,103,5,4,2,3
2008000022236,400,3,4,2,1
2008000022312,103,2,3,3,2
2008000022428,811,2,2,2,2
2008000022446,810,2,3,3,2
2008000022501,502,1,1,3,2
2008000022526,805,2,3,1,2
2008000022527,103,3,3,4,2
2008000022610,804,3,3,3,2
2008000022757,815,3,4,2,2
2008000022820,805,5,3,3,2
2008000022935,821,4,4,2,3
2008000023112,809,2,3,3,2
2008000023159,904,3,4,2,2
2008000023221,102,3,4,2,2
2008000023246,810,2,3,3,2
2008000023334,808,3,4,1,2
2008000023359,808,2,2,3,2
2008000023416,815,1,1,3,2
2008000023491,810,1,1,3,2
2008000023691,821,2,2,3,3
2008000023766,808,2,3,1,2
2008000023829,801,1,1,4,2
2008000023845,815,2,3,2,2
2008000023956,300,4,4,1,2
2008000024215,814,2,3,4,3
2008000024400,102,3,3,3,2
2008000024443,805,2,3,2,3
2008000024550,817,1,1,4,1
2008000024558,905,1,1,4,2
2008000024646,806,6,4,2,2
2008000024776,808,1,1,2,2
2008000024818,905,5,3,3,2
2008000024931,812,3,4,2,2
2008000024950,400,7,4,2,2
2008000024970,822,4,4,2,3
2008000025161,400,3,3,4,2
2008000025262,806,4,3,3,2
2008000025277,820,3,4,3,3
2008000025334,600,2,3,3,2
2008000025337,904,2,3,2,2
2008000025354,817,3,4,2,2
2008000025526,804,2,3,3,2
2008000025576,903,3,4,2,1
2008000025596,903,3,4,2,2
2008000025630,802,1,1,2,1
2008000025634,803,1,1,3,2
2008000025837,904,3,4,2,2
2008000025931,819,1,1,4,2
2008000026031,801,1,1,3,3
2008000026236,400,2,3,3,2
2008000026389,502,1,1,4,2
2008000026441,700,2,3,3,3
2008000026549,803,2,3,3,2
2008000026565,801,4,4,2,3
2008000026588,502,1,1,3,2
2008000026610,806,1,1,3,2
2008000026640,700,3,3,3,2
2008000026943,821,2,3,3,3
2008000027082,600,5,3,4,2
2008000027144,102,1,1,4,2
2008000027218,821,2,3,2,2
2008000027289,822,1,1,1,2
2008000027299,200,2,3,2,2
2008000027318,600,4,4,2,2
2008000027359,805,2,3,4,2
2008000027362,300,1,1,3,2
2008000027378,903,1,1,2,2
2008000027405,600,2,3,4,2
2008000027741,813,2,3,3,3
2008000027885,905,2,3,4,2
2008000028020,817,7,4,3,3
2008000028057,501,1,1,3,1
