region,sample_geo,name
1,-1,ADAMS
5,-1,ARAPAHOE
13,-1,BOULDER
14,-1,BROOMFIELD
19,-1,CLEAR CREEK
31,-1,DENVER
35,-1,DOUGLAS
39,-1,ELBERT
47,-1,GILPIN
59,-1,JEFFERSON
123,-1,WELD
