varialbe_names,ptotals,psex,psex,page,page,page,page,page,page,page,page,page,pqat,pqat
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9,1,2
geo,,,,,,,,,,,,,,
1038019,325.6075522,164.8721329,160.7354193,38.51026858,56.87202546,9.142862382,15.49154437,79.09241241,71.5842406,36.40037726,15.03535165,3.478469472,9.074247005,316.5334075
1038020,1162.533497,588.6515095,573.8819871,137.4952051,203.0531361,32.64323479,55.31026268,282.3877338,255.5809193,129.962151,53.68149421,12.4193596,32.39825375,1130.135608
1038024,452.4145135,229.0811293,223.3333841,53.50798624,79.02067859,12.70352487,21.52468351,109.8947338,99.46252526,50.57640358,20.8908278,4.833149794,12.60818742,439.8064682
1038028,849.1975859,429.9931505,419.2044353,100.4363286,148.3245287,23.84495264,40.40257049,206.2761912,186.6945773,94.93364722,39.21280154,9.07198822,23.66600098,825.5318517
1038027,1124.900463,569.5959364,555.3045266,133.0442696,196.4799875,31.58652205,53.51978268,273.2463997,247.3073639,125.7550722,51.94374,12.01732544,31.34947144,1093.551345
1038006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038029,1457.052891,737.7820819,719.2708086,172.3286139,254.4951692,40.91316056,69.32271488,353.9286093,320.3304837,162.8871153,67.28130977,15.56571389,40.60611537,1416.447233
1038018,851.6519141,431.2359053,420.4160089,100.726607,148.7532123,23.91386869,40.51934092,206.8723651,187.234157,95.20802193,39.32613334,9.098207839,23.73439983,827.9177819
1038022,1862.835167,943.2508706,919.584296,220.3213104,325.3708592,52.30728051,88.62876012,452.4960379,409.5409946,208.2503995,86.01883344,19.90069092,51.9147247,1810.921027
1038021,38.4511431,19.46982473,18.98131836,4.547695033,6.716043208,1.079684754,1.829403481,9.340058752,8.453415348,4.298537013,1.775531476,0.410774033,1.071581933,37.37957325
1038017,962.0966869,487.1598699,474.9368169,113.7891353,168.0439747,27.01509086,45.7740105,233.7001935,211.5152436,107.5548836,44.42606417,10.2780907,26.81234793,935.2846412
1038012,553.8600825,280.4483265,273.411756,65.50616037,96.7396011,15.55205486,26.35119482,134.536591,121.765153,61.91722463,25.57520871,5.916894051,15.43533975,538.4249168
1038004,62.99442593,31.89737244,31.09705349,7.450479097,11.0028793,1.768845235,2.99710783,15.30179838,13.84921238,7.042284043,2.90884944,0.672970224,1.7555704,61.23887532
1038007,372.2397896,188.4844735,183.7553161,44.0255583,65.01701403,10.4522673,17.71018263,90.41971771,81.83625496,41.61349661,17.18865578,3.976642235,10.37382509,361.8660814
1038025,308.4272542,156.1728495,152.2544047,36.47831973,53.8712402,8.660450045,14.67415132,74.91919467,67.80718268,34.47975434,14.24202908,3.294932138,8.595455078,299.831896
1038023,608.6734141,308.203183,300.4702311,71.98904478,106.313535,17.09117993,28.95906786,147.8511428,133.8157664,68.04492633,28.1062855,6.502465545,16.962914,591.7106914
1038026,661.0324175,334.7152848,326.3171327,78.18165078,115.4587854,18.56138896,31.45017048,160.5695207,145.3268,73.89825333,30.52403049,7.06181742,18.4220894,642.6105358
930000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911201001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053039,621.3748728,294.9571182,326.4177546,80.50557525,117.033478,22.50951905,40.6933654,156.4451626,117.033478,58.23637135,22.82993925,6.0879838,379.9449535,241.4299193
2053034,483.5674585,229.5420531,254.0254054,62.65119192,91.07800139,17.51739794,31.66846318,121.7490327,91.07800139,45.32081247,17.76675592,4.737801578,295.6814373,187.8860211
2053032,552.4711656,262.2495856,290.22158,71.57838358,104.0557397,20.01345849,36.18091429,139.0970977,104.0557397,51.77859191,20.29834758,5.412892689,337.8131954,214.6579702
2053037,2093.803642,993.8964633,1099.907179,271.2740313,394.3595619,75.84875899,137.1215999,527.1623712,394.3595619,196.2350455,76.92845663,20.5142551,1280.274054,813.5295883
2053035,334.58647,158.8230637,175.7634063,43.3491559,63.01802664,12.12051026,21.91181214,84.23970296,63.01802664,31.35804611,12.29304421,3.278145123,204.5857442,130.0007258
2053031,823.1199614,390.7224164,432.397545,106.643749,155.0313605,29.81780445,53.90549702,207.2390466,155.0313605,77.14428412,30.24225719,8.064601916,503.3037046,319.8162568
2053028,735.5936307,349.1750101,386.4186206,95.30380286,138.5461254,26.64713294,48.17346453,185.2023154,138.5461254,68.94115889,27.02645156,7.207053749,449.7849849,285.8086457
2053026,982.6537699,466.4506675,516.2031024,127.3130126,185.0789168,35.59697168,64.35324418,247.4052872,185.0789168,92.09607976,36.10369014,9.627650704,600.8520094,381.8017605
2053022,878.367078,416.9473749,461.419703,113.8015874,165.4369345,31.8191503,57.52358845,221.1487564,165.4369345,82.32214331,32.27209194,8.605891185,537.0850242,341.2820538
2053015,1389.868472,659.7492385,730.1192333,180.0719111,261.7761812,50.34846469,91.0214237,349.9307884,261.7761812,130.2609745,51.06516881,13.61737835,849.846904,540.0215678
2053008,1646.239923,781.4448327,864.79509,213.2874981,310.062721,59.63560891,107.810994,414.4780932,310.062721,154.2885682,60.48451437,16.12920383,1006.607409,639.6325135
2053010,1524.572116,723.6909914,800.8811241,197.5241686,287.147075,55.22815063,99.84306235,383.845474,287.147075,142.8856424,56.01431648,14.93715106,932.2125932,592.3595223
2053009,1139.704562,541.0002688,598.7042931,147.6605756,214.6588069,41.28619078,74.63838049,286.9463722,214.6588069,106.8151626,41.87389457,11.16637188,696.8820526,442.8225094
2053012,2023.658427,960.5996058,1063.058821,262.1859893,381.1479904,73.30772437,132.5278434,509.5017285,381.1479904,189.6609097,74.3512507,19.82700019,1237.383165,786.2752617
2053016,1398.559029,663.8745129,734.6845165,181.1978632,263.413013,50.66328313,91.59056168,352.1188326,263.413013,131.0754692,51.38446866,13.70252498,855.1608194,543.39821
2053019,1260.751615,598.4594477,662.2921674,163.3434798,237.4575364,45.67116203,82.56565946,317.4227026,237.4575364,118.1599103,46.32128533,12.35234275,770.8973032,489.8543118
2053014,2011.864099,955.0010192,1056.86308,260.6579115,378.9265758,72.88047077,131.7554418,506.5322399,378.9265758,188.555524,73.91791519,19.71144405,1230.171423,781.6926758
2053021,342.0355194,162.3590131,179.6765063,44.3142577,64.42102538,12.39035464,22.39964469,86.11516945,64.42102538,32.05618443,12.5667298,3.351127946,209.1405288,132.8949906
2053025,1392.351488,660.9278883,731.4235999,180.3936117,262.2438474,50.43841281,91.18403455,350.5559439,262.2438474,130.4936872,51.15639734,13.64170596,851.3651655,540.9863227
2053020,1347.657192,639.7121915,707.9450002,174.6030009,253.825855,48.81934651,88.25703924,339.3031449,253.825855,126.3048573,49.51428382,13.20380902,824.0364576,523.6207341
2053027,3180.12335,1509.555761,1670.567589,412.0180439,598.9635445,115.201065,208.2638471,800.6679003,598.9635445,298.0468835,116.8409378,31.15758342,1944.513483,1235.609867
2053033,990.1028193,469.986617,520.1162023,128.2781144,186.4819156,35.86681607,64.84107673,249.2807537,186.4819156,92.79421808,36.37737573,9.700633527,605.406794,384.6960253
2053029,27.93393534,13.25981051,14.67412483,3.619131754,5.261245267,1.011916441,1.829372071,7.03299932,5.261245267,2.618018692,1.026320945,0.273685585,17.08044246,10.85349288
2053036,460.5995561,218.6395422,241.9600139,59.67546137,86.75208862,16.68537776,30.16431281,115.9663443,86.75208862,43.16821932,16.92289203,4.512771208,281.637518,178.9620381
