variable_names,rpsex,rpsex,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpworker,rpworker,rpeligible,prtotals
variable_categories,1,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,1,1
region,,,,,,,,,,,,,,,,,,,,,,,,
1,451864,474489,54641,63913,64365,66220,50003,53261,55615,56970,68215,75135,74184,63532,50075,40373,28342,22326,18664,20519,448203,478150,495490,926353
2,419322,449565,47201,48579,57557,62377,59803,58546,53368,50254,58248,64234,67256,61988,49568,39960,27418,23078,16133,23319,424633,444254,471907,868890
