varialbe_names,gqtotals,gqtype,gqtype
variable_categories,1,1,2
geo
5006,6.14327816399129,0.0,6.143278163991287
5007,0.0,0.0,0.0
5008,15.3581954099782,0.0,15.358195409978212
5009,0.0,0.0,0.0
5010,9.214917245986928,0.0,9.214917245986928
5011,109.55512725784456,109.55512725784456,0.0
5012,0.0,0.0,0.0
5013,5.119398469992737,0.0,5.119398469992737
5014,19.453714185972395,7.167157857989829,12.286556327982565
5015,229.3490514556746,26.620872043962233,202.7281794117124
5016,40.95518775994189,0.0,40.95518775994189
5017,18.429834491973853,18.429834491973853,0.0
5018,0.0,0.0,0.0
5019,0.0,0.0,0.0
5020,0.0,0.0,0.0
5021,27.644751737960775,0.0,27.644751737960775
5022,40.9551877599419,0.0,40.9551877599419
5023,5.119398469992736,0.0,5.119398469992736
5024,0.0,0.0,0.0
5025,6.143278163991287,0.0,6.143278163991287
5026,38.907428371944796,0.0,38.907428371944796
5027,636.8531696670964,13.310436021981113,623.5427336451153
5028,429.0055917853915,13.31043602198112,415.69515576341036
5029,105.45960848185038,0.0,105.45960848185038
5030,8.19103755198838,0.0,8.19103755198838
5031,9.214917245986927,0.0,9.214917245986927
5032,43.00294714793899,10.238796939985473,32.76415020795351
5033,0.0,0.0,0.0
5034,0.0,0.0,0.0
5035,15.358195409978208,0.0,15.358195409978208
5036,14.334315715979669,8.191037551988382,6.143278163991287
5037,12.286556327982568,0.0,12.286556327982568
5038,89.0775333778736,88.05365368387505,1.0238796939985473
5039,6.143278163991287,0.0,6.143278163991287
5040,0.0,0.0,0.0
5041,4.09551877599419,0.0,4.09551877599419
5042,160.74911195777187,151.53419471178495,9.214917245986923
5043,0.0,0.0,0.0
5044,0.0,0.0,0.0
5045,0.0,0.0,0.0
5046,80.88649582588519,73.71933796789536,7.167157857989827
5047,115.69840542183586,115.69840542183586,0.0
5048,2750.140858080097,213.99085604569632,2536.1500020344006
5049,6.143278163991284,0.0,6.143278163991284
5050,0.0,0.0,0.0
5051,32.76415020795352,0.0,32.76415020795352
5052,196.58490124772118,150.5103150177865,46.074586229934646
5053,191.46550277772835,0.0,191.46550277772832
5054,3.0716390819956416,0.0,3.0716390819956416
5055,52.21786439392592,0.0,52.21786439392592
5056,2.047759387997095,0.0,2.047759387997095
5057,143.34315715979665,0.0,143.34315715979665
5058,10.238796939985473,0.0,10.238796939985473
5059,0.0,0.0,0.0
5060,153.5819540997821,57.33726286391866,96.24469123586346
5061,175.08342767375163,175.08342767375163,0.0
5062,0.0,0.0,0.0
5063,4.09551877599419,0.0,4.09551877599419
5064,0.0,0.0,0.0
5065,12.286556327982568,0.0,12.286556327982568
5066,0.0,0.0,0.0
5067,102.38796939985477,69.62381919190123,32.76415020795353
5068,17.405954797975305,0.0,17.405954797975305
5069,10.238796939985473,0.0,10.238796939985473
5070,6.143278163991284,0.0,6.143278163991284
5071,0.0,0.0,0.0
5072,612.2800570111311,0.0,612.2800570111311
5073,189.41774338973127,170.98790889775742,18.429834491973853
5074,284.63855493159616,0.0,284.63855493159616
5075,8.191037551988378,0.0,8.191037551988378
5076,0.0,0.0,0.0
5077,16.382075103976756,0.0,16.382075103976756
5078,6.143278163991283,0.0,6.143278163991283
5079,0.0,0.0,0.0
5080,0.0,0.0,0.0
5081,0.0,0.0,0.0
5082,2.0477593879970937,0.0,2.0477593879970937
5083,0.0,0.0,0.0
5084,0.0,0.0,0.0
5085,0.0,0.0,0.0
5086,0.0,0.0,0.0
5087,0.0,0.0,0.0
5088,3.071639081995642,0.0,3.071639081995642
5089,931.730521538678,931.730521538678,0.0
5090,154.60583379378062,146.41479624179223,8.191037551988378
5091,12.286556327982568,0.0,12.286556327982568
5092,9.214917245986928,0.0,9.214917245986928
5093,7.167157857989831,0.0,7.167157857989831
5094,0.0,0.0,0.0
5095,0.0,0.0,0.0
5096,0.0,0.0,0.0
5097,7.167157857989834,3.0716390819956434,4.095518775994191
5098,59.38502225191575,43.00294714793899,16.38207510397676
5099,269.28035952161804,251.87440472364273,17.40595479797531
5100,266.2087204396223,238.5639687016615,27.644751737960775
5101,156.65359318177775,140.27151807780098,16.38207510397676
5102,49.14622531193026,45.05070653593607,4.095518775994189
5103,16.382075103976756,0.0,16.382075103976756
5104,4.095518775994189,0.0,4.095518775994189
5105,1007.4976188945707,0.0,1007.4976188945707
5106,169.96402920375888,139.24763838380247,30.716390819956423
5107,278.4952767676049,178.1550667557472,100.34021001185764
5108,0.0,0.0,0.0
5109,0.0,0.0,0.0
5110,774.0530486629018,774.0530486629018,0.0
5111,6.143278163991284,0.0,6.143278163991284
5112,4.095518775994189,0.0,4.095518775994189
5113,7.167157857989831,0.0,7.167157857989831
5114,21.501473573969495,0.0,21.501473573969495
5115,23.549232961966585,6.143278163991282,17.4059547979753
5116,40.9551877599419,0.0,40.9551877599419
5117,6.143278163991284,0.0,6.143278163991284
5118,2.047759387997095,0.0,2.047759387997095
5119,116.7222851158344,9.214917245986925,107.50736786984746
5120,97.26857092986201,95.22081154186492,2.047759387997095
5121,0.0,0.0,0.0
5122,7.167157857989832,0.0,7.167157857989832
5123,83.95813490788088,26.62087204396223,57.33726286391865
5124,0.0,0.0,0.0
5125,242.6594874776558,188.39386369573276,54.26562378192303
5126,5.1193984699927375,0.0,5.1193984699927375
5127,9.214917245986925,0.0,9.214917245986925
5128,5.1193984699927375,0.0,5.1193984699927375
5129,188.39386369573268,188.39386369573268,0.0
5130,102.38796939985474,0.0,102.38796939985474
5131,271.328118909615,267.2326001336208,4.095518775994189
