hid,sample_geo,gqtype,gqrtotals,gqtotals
184591,1500,2,1,1
185135,302,2,1,1
186561,906,1,1,1
186695,1500,1,1,1
187500,302,2,1,1
187929,905,2,1,1
188110,902,1,1,1
188930,302,1,1,1
189125,303,1,1,1
189541,1101,2,1,1
191049,303,2,1,1
191469,905,2,1,1
192786,1101,2,1,1
192808,104,1,1,1
193918,905,2,1,1
194707,700,1,1,1
196228,1500,2,1,1
196411,1300,1,1,1
196637,300,1,1,1
198015,1300,2,1,1
199439,500,2,1,1
200937,101,2,1,1
201178,700,2,1,1
201435,1101,2,1,1
203751,1300,2,1,1
203845,305,2,1,1
204284,300,1,1,1
204467,302,2,1,1
205367,101,2,1,1
207137,700,2,1,1
207254,905,2,1,1
208270,305,2,1,1
208402,1101,1,1,1
208906,904,2,1,1
208933,903,2,1,1
209284,700,2,1,1
209474,104,2,1,1
210373,303,2,1,1
210932,302,2,1,1
210963,904,2,1,1
211354,104,2,1,1
211800,306,2,1,1
212033,1500,2,1,1
212790,903,1,1,1
213248,900,1,1,1
213426,303,1,1,1
213543,700,1,1,1
214517,1500,2,1,1
215443,902,1,1,1
215701,1300,2,1,1
216123,905,2,1,1
217382,300,2,1,1
217486,905,2,1,1
217946,1101,1,1,1
218007,101,1,1,1
218482,103,1,1,1
219965,903,2,1,1
220474,700,1,1,1
220939,1101,2,1,1
221026,1300,1,1,1
221770,1500,2,1,1
221834,100,1,1,1
223152,305,2,1,1
223250,300,2,1,1
224042,1300,2,1,1
224849,904,2,1,1
226310,902,1,1,1
226323,306,2,1,1
227276,905,1,1,1
228237,1101,2,1,1
228830,905,2,1,1
228954,1500,2,1,1
230127,905,2,1,1
230345,301,1,1,1
230435,1101,2,1,1
231239,102,1,1,1
231699,305,2,1,1
234119,303,2,1,1
234431,902,1,1,1
235841,105,1,1,1
237488,101,2,1,1
237901,302,2,1,1
238655,1300,2,1,1
238659,905,2,1,1
239362,905,1,1,1
239560,903,1,1,1
240352,1300,2,1,1
241283,1300,1,1,1
242034,304,1,1,1
244103,100,1,1,1
244623,1101,1,1,1
244880,101,2,1,1
245120,300,2,1,1
245478,101,1,1,1
246335,300,1,1,1
246462,1100,1,1,1
246625,100,1,1,1
247007,906,1,1,1
247167,900,1,1,1
250669,302,2,1,1
250735,100,2,1,1
251104,900,1,1,1
251379,101,1,1,1
251559,700,2,1,1
251615,305,2,1,1
251934,903,2,1,1
252706,306,1,1,1
253224,902,2,1,1
253508,900,1,1,1
254061,904,1,1,1
254070,300,1,1,1
254281,1500,2,1,1
254810,300,1,1,1
255097,1100,1,1,1
255778,1300,2,1,1
256261,304,2,1,1
256614,300,1,1,1
256717,905,2,1,1
257625,101,1,1,1
258055,700,2,1,1
258166,302,2,1,1
260618,301,2,1,1
261624,1300,2,1,1
261886,902,2,1,1
262430,101,1,1,1
263109,101,2,1,1
263715,303,2,1,1
266762,1101,2,1,1
268293,103,2,1,1
269985,904,2,1,1
270207,1500,1,1,1
270293,904,1,1,1
270625,302,2,1,1
271904,100,1,1,1
272463,1100,1,1,1
272656,1300,2,1,1
274847,302,2,1,1
274848,105,1,1,1
275009,700,2,1,1
276334,1300,2,1,1
276585,302,2,1,1
277278,103,1,1,1
277394,1101,1,1,1
277987,1101,1,1,1
278313,1300,2,1,1
278926,700,2,1,1
280484,1300,1,1,1
280731,102,1,1,1
282105,700,2,1,1
282475,1300,2,1,1
283484,902,1,1,1
285425,101,2,1,1
286246,904,1,1,1
286351,1100,2,1,1
286373,302,2,1,1
286801,302,2,1,1
289802,904,2,1,1
291497,500,1,1,1
292249,1300,2,1,1
294048,300,1,1,1
294112,105,2,1,1
294124,304,1,1,1
294961,301,1,1,1
295733,906,1,1,1
296442,1300,2,1,1
296482,500,1,1,1
296729,1100,1,1,1
298291,100,1,1,1
299102,100,1,1,1
299789,306,1,1,1
301033,102,2,1,1
301883,700,2,1,1
304379,903,2,1,1
304545,303,1,1,1
304579,903,1,1,1
310453,903,1,1,1
310851,300,1,1,1
310946,1500,2,1,1
314374,700,2,1,1
315112,1500,1,1,1
315805,300,1,1,1
317240,302,1,1,1
317456,105,2,1,1
318031,1300,1,1,1
318618,104,2,1,1
318836,304,2,1,1
320293,302,2,1,1
320369,105,1,1,1
322132,300,1,1,1
323173,1300,2,1,1
323539,302,2,1,1
324665,305,2,1,1
324880,901,1,1,1
325708,900,2,1,1
326303,906,1,1,1
327278,906,1,1,1
327391,901,2,1,1
327588,1500,2,1,1
329428,1101,2,1,1
331411,302,2,1,1
332548,100,2,1,1
332934,1101,2,1,1
332943,103,2,1,1
333122,300,1,1,1
333412,101,1,1,1
333765,302,2,1,1
335015,1101,2,1,1
335113,101,1,1,1
335324,105,1,1,1
336322,300,1,1,1
337272,301,2,1,1
337457,1300,2,1,1
338330,102,1,1,1
338584,1300,1,1,1
339351,306,1,1,1
339406,1300,2,1,1
339915,104,2,1,1
340336,903,1,1,1
340800,100,2,1,1
340848,1500,2,1,1
342830,300,1,1,1
343140,102,1,1,1
343826,1300,2,1,1
344939,301,1,1,1
344963,305,1,1,1
345417,906,1,1,1
347203,300,1,1,1
348011,1300,2,1,1
349401,1300,2,1,1
350353,302,2,1,1
350485,304,1,1,1
351113,105,1,1,1
352554,1500,2,1,1
353028,300,1,1,1
353108,905,1,1,1
353201,101,1,1,1
353413,1101,2,1,1
353711,105,1,1,1
353876,500,1,1,1
354312,500,2,1,1
354442,903,2,1,1
354567,101,1,1,1
354659,303,2,1,1
355984,301,1,1,1
356013,903,1,1,1
356052,1500,1,1,1
358272,901,2,1,1
358683,1300,2,1,1
359158,101,2,1,1
360813,302,1,1,1
361288,901,2,1,1
361357,902,1,1,1
361909,700,1,1,1
362654,305,2,1,1
363001,102,2,1,1
363503,306,2,1,1
364806,1101,2,1,1
365465,1101,2,1,1
366351,105,1,1,1
366797,1101,1,1,1
367139,304,1,1,1
367888,1300,2,1,1
368497,1300,1,1,1
368528,302,2,1,1
370740,1300,2,1,1
371075,306,2,1,1
371522,302,2,1,1
372730,905,2,1,1
372731,303,1,1,1
373084,101,2,1,1
375405,1500,2,1,1
375466,1100,1,1,1
376398,901,1,1,1
376569,1300,2,1,1
377565,1101,1,1,1
378100,700,2,1,1
378337,905,2,1,1
378505,101,1,1,1
379523,904,2,1,1
379745,903,2,1,1
379800,101,2,1,1
380284,1300,2,1,1
381242,902,1,1,1
381714,302,2,1,1
383062,300,1,1,1
383126,303,1,1,1
383176,100,2,1,1
383193,101,2,1,1
383824,1101,2,1,1
384065,301,1,1,1
384451,104,1,1,1
384602,901,2,1,1
384967,304,2,1,1
385180,1300,2,1,1
387592,300,1,1,1
387928,1101,1,1,1
389746,300,1,1,1
390635,305,2,1,1
391473,901,1,1,1
391952,302,1,1,1
391965,905,2,1,1
392017,1101,2,1,1
392028,1300,2,1,1
392148,1100,1,1,1
394685,1101,2,1,1
395284,903,2,1,1
395644,500,2,1,1
397335,900,1,1,1
397352,302,2,1,1
398474,302,2,1,1
400727,302,1,1,1
401061,100,1,1,1
403440,302,1,1,1
404326,102,2,1,1
404380,905,2,1,1
404481,1101,2,1,1
407549,905,2,1,1
407808,104,1,1,1
407827,902,1,1,1
407904,104,1,1,1
408179,905,2,1,1
408888,1500,2,1,1
410128,500,1,1,1
411784,905,2,1,1
412439,104,2,1,1
412841,305,2,1,1
413524,105,1,1,1
413737,302,2,1,1
413746,1100,2,1,1
414362,105,1,1,1
415365,900,1,1,1
415799,1300,2,1,1
416506,1101,1,1,1
418469,905,1,1,1
419216,303,1,1,1
419606,1300,2,1,1
419927,302,1,1,1
420147,1500,2,1,1
420434,904,1,1,1
420502,1300,2,1,1
421412,101,2,1,1
421831,1101,2,1,1
422650,1300,1,1,1
423065,1300,1,1,1
423340,700,2,1,1
423438,905,2,1,1
423465,105,2,1,1
425730,305,2,1,1
427736,1500,2,1,1
429078,1300,2,1,1
429118,1101,1,1,1
430549,302,1,1,1
430710,904,1,1,1
431207,302,1,1,1
431593,1100,1,1,1
433002,901,1,1,1
433454,301,1,1,1
433495,305,1,1,1
434335,301,1,1,1
434800,902,1,1,1
435764,302,1,1,1
435793,1500,2,1,1
435824,905,2,1,1
436624,1101,2,1,1
437671,901,2,1,1
438065,305,1,1,1
438540,700,2,1,1
438767,104,2,1,1
439715,1300,1,1,1
442357,903,1,1,1
442394,101,1,1,1
442922,905,2,1,1
443341,1300,1,1,1
443414,903,1,1,1
444169,1500,2,1,1
444577,1300,2,1,1
444924,303,2,1,1
444958,104,1,1,1
445245,1101,1,1,1
445688,102,1,1,1
446959,901,1,1,1
447136,1500,2,1,1
447253,104,2,1,1
447495,305,2,1,1
447759,302,1,1,1
448493,904,2,1,1
450010,1300,1,1,1
452875,100,2,1,1
453508,304,1,1,1
453640,1300,1,1,1
454069,1300,2,1,1
456028,101,1,1,1
458137,300,1,1,1
458306,1300,1,1,1
459490,305,1,1,1
460743,1300,2,1,1
461322,1100,2,1,1
462982,902,1,1,1
463114,101,2,1,1
464668,104,2,1,1
465276,1500,2,1,1
466558,900,1,1,1
466737,1101,2,1,1
467006,1500,1,1,1
467078,104,2,1,1
469903,901,1,1,1
470203,905,2,1,1
470684,700,2,1,1
470854,1300,2,1,1
472421,901,2,1,1
472632,904,1,1,1
473561,101,2,1,1
475926,1300,2,1,1
476262,306,1,1,1
477884,1101,2,1,1
478978,104,2,1,1
480657,1300,2,1,1
