hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
10522,1001,3,1,1,1
10587,702,16,7,1,1
10670,1402,10,4,1,1
10702,501,7,4,1,1
10761,1901,15,6,1,1
10805,1302,1,1,1,1
11090,1204,14,2,1,1
11161,1903,10,4,1,1
11168,701,13,3,1,1
11169,1904,12,2,1,1
11201,1302,4,7,1,1
11224,1901,13,4,1,1
11270,702,11,2,1,1
11334,304,10,3,1,1
11335,1904,11,5,1,1
11364,601,15,2,1,1
11506,2102,7,1,1,1
11554,1403,16,4,1,1
11570,1901,15,5,1,1
11680,1600,12,2,1,1
11733,2500,16,2,1,1
11762,2001,14,2,1,1
11855,901,11,1,1,1
11881,903,15,3,1,1
11921,1503,5,2,1,1
11965,2500,8,2,1,1
12012,2400,6,2,1,1
12047,502,16,5,1,1
12075,2003,10,2,1,1
12101,1101,7,2,1,1
12117,2104,7,2,1,1
12147,1003,13,2,1,1
12298,601,11,1,1,1
12330,101,12,2,1,1
12403,1904,3,1,1,1
12543,303,7,2,1,1
12551,1901,13,4,1,1
12556,2201,10,2,1,1
12687,2102,13,2,1,1
12709,1204,12,4,1,1
12777,1404,16,4,1,1
12811,2600,3,1,1,1
12827,800,15,4,1,1
12892,502,12,3,1,1
13019,2103,16,4,1,1
13044,601,12,2,1,1
13097,2202,6,5,1,1
13098,907,11,4,1,1
13147,601,16,2,1,1
13300,2103,10,5,1,1
13321,902,12,1,1,1
13333,501,12,4,1,1
13345,303,16,4,1,1
13405,1103,9,1,1,1
13410,901,15,2,1,1
13465,101,11,4,1,1
13470,502,11,5,1,1
13505,907,13,4,1,1
13551,1203,13,2,1,1
13624,703,3,1,1,1
13628,2103,3,1,1,1
13650,2202,3,2,1,1
13722,307,12,3,1,1
13784,1504,12,3,1,1
13810,1903,1,4,1,1
13827,1205,14,4,1,1
13863,1102,6,2,1,1
13869,1402,12,2,1,1
13886,1204,13,2,1,1
13939,602,12,1,1,1
13941,1901,12,1,1,1
14012,1902,15,4,1,1
14013,2303,13,4,1,1
14016,1301,8,4,1,1
14094,501,6,1,1,1
14098,2103,12,2,1,1
14182,702,2,1,1,1
14193,901,11,2,1,1
14234,2201,11,5,1,1
14256,1204,14,4,1,1
14278,1504,9,1,1,1
14486,306,16,2,1,1
14545,307,11,2,1,1
14546,1302,5,2,1,1
14553,1404,13,1,1,1
14573,1403,14,2,1,1
14577,702,13,3,1,1
14629,2101,11,6,1,1
14708,102,15,2,1,1
14722,1402,11,5,1,1
14810,2102,10,1,1,1
14842,2500,1,3,1,1
15085,1001,15,5,1,1
15250,308,15,2,1,1
15261,1402,6,2,1,1
15344,308,16,5,1,1
15432,1105,11,2,1,1
15452,906,15,3,1,1
15490,800,16,3,1,1
15605,1904,1,2,1,1
15651,1504,14,3,1,1
15851,1800,6,1,1,1
15889,503,5,2,1,1
15938,1903,16,2,1,1
15945,1800,10,1,1,1
15956,2400,1,1,1,1
15975,301,11,1,1,1
16101,703,7,1,1,1
16138,308,16,3,1,1
16157,1204,4,1,1,1
16194,502,9,1,1,1
16195,2102,6,2,1,1
16205,1504,12,2,1,1
16241,2002,12,1,1,1
16279,800,16,3,1,1
16341,2104,16,2,1,1
16345,102,13,5,1,1
16358,2102,1,2,1,1
16458,1502,16,4,1,1
16527,1003,12,1,1,1
16564,1504,10,3,1,1
16625,1202,5,1,1,1
16691,2104,13,4,1,1
16843,1404,11,2,1,1
16864,101,6,1,1,1
16868,305,12,4,1,1
16926,904,4,2,1,1
16956,901,13,2,1,1
16976,1903,7,4,1,1
17098,1404,14,3,1,1
17114,1404,14,3,1,1
17123,2103,15,5,1,1
17205,2600,14,4,1,1
17247,1402,13,4,1,1
17253,1201,11,2,1,1
17364,1700,8,1,1,1
17387,102,10,2,1,1
17402,2102,8,2,1,1
17414,2301,16,2,1,1
17426,907,1,3,1,1
17525,2303,11,2,1,1
17593,1700,11,2,1,1
17629,2202,15,3,1,1
17677,304,1,1,1,1
17682,2101,1,2,1,1
17691,703,8,4,1,1
17692,503,8,4,1,1
17704,1700,12,3,1,1
17709,102,9,7,1,1
17724,2201,2,2,1,1
17801,2202,9,2,1,1
17858,1901,10,1,1,1
17885,1003,15,4,1,1
17971,101,13,2,1,1
18008,1103,7,1,1,1
18078,601,1,2,1,1
18102,1102,15,3,1,1
18108,2104,7,1,1,1
18148,303,2,1,1,1
18178,1201,8,1,1,1
18197,1404,5,1,1,1
18266,2102,3,1,1,1
18308,1502,16,4,1,1
18316,1105,15,4,1,1
18340,102,11,2,1,1
18346,601,12,7,1,1
18348,800,15,4,1,1
18413,1902,3,1,1,1
18436,1101,1,1,1,1
18507,1101,9,2,1,1
18613,800,7,3,1,1
18684,702,16,2,1,1
18713,307,14,3,1,1
18795,306,12,4,1,1
18805,800,9,2,1,1
18877,1800,2,2,1,1
18885,1904,11,1,1,1
18888,303,11,2,1,1
18930,2102,10,2,1,1
18961,1901,15,3,1,1
18977,1302,12,3,1,1
19015,1904,4,1,1,1
19095,703,2,1,1,1
19247,906,11,2,1,1
19348,1902,15,4,1,1
19354,502,12,2,1,1
19369,1104,14,3,1,1
19420,1502,12,4,1,1
19514,1002,16,6,1,1
19519,1103,11,2,1,1
19522,906,5,2,1,1
19526,2001,4,1,1,1
19527,1202,14,2,1,1
19596,800,9,2,1,1
19607,2102,12,4,1,1
19644,502,15,3,1,1
19656,1106,11,3,1,1
19659,800,14,2,1,1
19733,2600,3,2,1,1
19756,301,13,3,1,1
19884,102,11,4,1,1
19898,901,3,1,1,1
19940,2500,3,1,1,1
19984,2202,3,1,1,1
20004,1203,13,5,1,1
20099,602,1,1,1,1
20154,400,2,1,1,1
