variable_names,totpop,agep,agep,agep,agep,agep,agep,agep,agep,agep,agep,gender,gender,employment,employment,employment
variable_categories,1,1,2,3,4,5,6,7,8,9,10,1,2,1,2,3
region
69,297942.8139176475,17341.5416788215,35325.472828167,52040.486504872504,42203.402066586,36328.710704973004,42015.047129241,37137.645593781,19882.350649428,10815.538770705,4852.6179910725,147839.7903220905,150103.023595557,176628.27617526846,63606.60978747959,57707.927954899475
123,190815.61644656002,14961.883707765,29770.658598054,29244.534671335,26283.68033338,26195.117389938,25600.694922090002,20353.715789861002,10724.372024091,5512.6679625550005,2168.291047491,95456.592895515,95359.023551045,100047.43319685162,42768.08862959421,48000.09462011417
