variable_names,hhldrtype,hhldrtype,hhldrtype,hhldrtype,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,hhldrage,hhldrage,hhldrage,hhldrage
variable_categories,1,2,3,4,1,2,3,4,5,6,7,1,2,3,4
region
69,29973.583950813594,5643.743169608453,50934.160111512494,33017.4057116166,30213.47440772099,46625.0466181633,19498.161401543493,14554.46281277686,5771.614417410866,1998.8961802955344,907.2371056400863,10910.961552380071,40132.332948434996,45900.334300001996,22625.26414273407
123,16605.23931233998,3356.8201582191364,27939.69045047918,19992.71990576116,14897.61741199747,23009.80602819965,10761.15936620316,10085.649080498846,5350.253744349422,2378.3117466379676,1411.6724489129408,4610.057042170925,25640.895933313324,26045.088908044803,11598.427943270402
