hid,pid,sample_geo,age,sex,rpage,rpsex,ptotals,prtotals
158,1,39,6,1,6,1,1,1
158,2,39,7,2,7,2,1,1
158,3,39,3,1,3,1,1,1
158,4,39,2,2,2,2,1,1
159,1,39,5,1,5,1,1,1
159,2,39,5,1,5,1,1,1
160,1,39,8,2,8,2,1,1
160,2,39,8,1,8,1,1,1
160,3,39,4,1,4,1,1,1
161,1,39,7,1,7,1,1,1
161,2,39,6,2,6,2,1,1
161,3,39,1,2,1,2,1,1
161,4,39,2,1,2,1,1,1
161,5,39,2,1,2,1,1,1
162,1,39,5,1,5,1,1,1
163,1,39,8,1,8,1,1,1
163,2,39,7,2,7,2,1,1
163,3,39,5,2,5,2,1,1
163,4,39,5,2,5,2,1,1
163,5,39,4,2,4,2,1,1
164,1,39,6,1,6,1,1,1
164,2,39,6,2,6,2,1,1
164,3,39,2,1,2,1,1,1
165,1,39,6,1,6,1,1,1
165,2,39,5,2,5,2,1,1
165,3,39,1,2,1,2,1,1
165,4,39,1,1,1,1,1,1
165,5,39,1,1,1,1,1,1
165,6,39,6,2,6,2,1,1
166,1,39,6,1,6,1,1,1
166,2,39,5,2,5,2,1,1
166,3,39,1,2,1,2,1,1
167,1,39,9,1,9,1,1,1
167,2,39,9,2,9,2,1,1
167,3,39,5,2,5,2,1,1
168,1,39,5,2,5,2,1,1
168,2,39,6,1,6,1,1,1
168,3,39,2,1,2,1,1,1
168,4,39,1,1,1,1,1,1
169,1,39,5,1,5,1,1,1
169,2,39,5,2,5,2,1,1
169,3,39,1,2,1,2,1,1
170,1,40,5,1,5,1,1,1
170,2,40,4,2,4,2,1,1
171,1,40,5,1,5,1,1,1
171,2,40,4,2,4,2,1,1
172,1,40,7,1,7,1,1,1
173,1,40,8,1,8,1,1,1
173,2,40,5,1,5,1,1,1
173,3,40,7,2,7,2,1,1
173,4,40,6,2,6,2,1,1
173,5,40,1,1,1,1,1,1
173,6,40,1,1,1,1,1,1
174,1,40,6,1,6,1,1,1
174,2,40,6,2,6,2,1,1
174,3,40,3,1,3,1,1,1
174,4,40,2,1,2,1,1,1
174,5,40,2,2,2,2,1,1
175,1,40,5,1,5,1,1,1
175,2,40,5,2,5,2,1,1
175,3,40,2,2,2,2,1,1
176,1,40,6,1,6,1,1,1
176,2,40,5,2,5,2,1,1
176,3,40,1,2,1,2,1,1
176,4,40,1,2,1,2,1,1
177,1,40,6,1,6,1,1,1
177,2,40,5,2,5,2,1,1
177,3,40,1,2,1,2,1,1
177,4,40,1,2,1,2,1,1
178,1,40,7,1,7,1,1,1
178,2,40,6,1,6,1,1,1
179,1,40,7,1,7,1,1,1
179,2,40,6,2,6,2,1,1
179,3,40,2,1,2,1,1,1
179,4,40,2,1,2,1,1,1
180,1,40,6,1,6,1,1,1
180,2,40,6,2,6,2,1,1
181,1,40,6,1,6,1,1,1
181,2,40,5,1,5,1,1,1
182,1,40,6,2,6,2,1,1
182,2,40,5,2,5,2,1,1
183,1,40,7,1,7,1,1,1
183,2,40,6,2,6,2,1,1
183,3,40,3,2,3,2,1,1
183,4,40,2,1,2,1,1,1
183,5,40,1,1,1,1,1,1
184,1,40,8,1,8,1,1,1
184,2,40,7,2,7,2,1,1
184,3,40,2,2,2,2,1,1
184,4,40,2,2,2,2,1,1
185,1,40,8,1,8,1,1,1
185,2,40,8,2,8,2,1,1
185,3,40,7,1,7,1,1,1
185,4,40,6,2,6,2,1,1
186,1,40,7,1,7,1,1,1
186,2,40,6,2,6,2,1,1
186,3,40,2,1,2,1,1,1
186,4,40,2,1,2,1,1,1
186,5,40,2,1,2,1,1,1
187,1,40,8,1,8,1,1,1
187,2,40,7,2,7,2,1,1
187,3,40,4,1,4,1,1,1
187,4,40,5,1,5,1,1,1
188,1,40,6,1,6,1,1,1
188,2,40,6,2,6,2,1,1
188,3,40,2,1,2,1,1,1
189,1,40,8,1,8,1,1,1
