hid,sample_geo,hsize,rhsize,hhrtotals,hhtotals
364,45,1,1,1,1
365,45,1,1,1,1
366,45,1,1,1,1
367,45,1,1,1,1
368,45,1,1,1,1
369,45,1,1,1,1
370,45,1,1,1,1
371,45,1,1,1,1
372,45,1,1,1,1
373,45,1,1,1,1
374,45,1,1,1,1
375,45,1,1,1,1
376,45,1,1,1,1
377,45,2,2,1,1
378,45,1,1,1,1
379,45,1,1,1,1
380,45,1,1,1,1
381,45,1,1,1,1
382,45,1,1,1,1
383,45,1,1,1,1
384,45,1,1,1,1
385,45,1,1,1,1
386,45,1,1,1,1
387,45,1,1,1,1
388,45,1,1,1,1
389,45,1,1,1,1
390,45,1,1,1,1
391,45,1,1,1,1
392,45,1,1,1,1
393,45,1,1,1,1
394,45,1,1,1,1
395,45,3,3,1,1
396,45,1,1,1,1
397,45,1,1,1,1
398,45,1,1,1,1
399,45,1,1,1,1
400,45,2,2,1,1
401,45,1,1,1,1
402,45,1,1,1,1
403,45,1,1,1,1
404,45,1,1,1,1
405,45,3,3,1,1
406,45,1,1,1,1
407,45,2,2,1,1
408,45,1,1,1,1
409,45,1,1,1,1
410,45,1,1,1,1
411,45,1,1,1,1
412,45,1,1,1,1
413,45,1,1,1,1
414,45,1,1,1,1
415,45,1,1,1,1
416,45,1,1,1,1
417,45,2,2,1,1
418,45,1,1,1,1
419,45,1,1,1,1
420,45,1,1,1,1
421,45,1,1,1,1
422,45,1,1,1,1
423,45,1,1,1,1
424,45,1,1,1,1
425,45,1,1,1,1
426,45,1,1,1,1
427,45,1,1,1,1
428,45,1,1,1,1
429,45,3,3,1,1
430,45,1,1,1,1
431,45,1,1,1,1
432,45,1,1,1,1
433,45,4,4,1,1
434,45,1,1,1,1
435,45,1,1,1,1
436,45,1,1,1,1
437,45,1,1,1,1
438,45,1,1,1,1
439,45,1,1,1,1
440,45,1,1,1,1
441,45,1,1,1,1
442,45,1,1,1,1
443,45,1,1,1,1
444,45,1,1,1,1
445,45,1,1,1,1
446,45,1,1,1,1
447,45,1,1,1,1
448,45,1,1,1,1
449,45,1,1,1,1
450,45,1,1,1,1
451,45,1,1,1,1
452,45,1,1,1,1
453,45,1,1,1,1
454,45,1,1,1,1
455,45,1,1,1,1
456,45,3,3,1,1
457,45,1,1,1,1
458,45,3,3,1,1
459,45,1,1,1,1
460,45,1,1,1,1
461,45,1,1,1,1
462,45,1,1,1,1
463,45,1,1,1,1
464,45,1,1,1,1
465,45,1,1,1,1
466,45,1,1,1,1
467,45,1,1,1,1
468,45,1,1,1,1
469,45,1,1,1,1
470,45,1,1,1,1
471,45,1,1,1,1
472,45,1,1,1,1
473,45,1,1,1,1
474,45,2,2,1,1
475,45,1,1,1,1
476,45,1,1,1,1
477,45,1,1,1,1
478,45,1,1,1,1
479,45,1,1,1,1
480,45,1,1,1,1
481,45,1,1,1,1
482,45,1,1,1,1
483,45,1,1,1,1
484,46,1,1,1,1
485,45,3,3,1,1
486,45,1,1,1,1
487,45,1,1,1,1
488,45,1,1,1,1
489,45,1,1,1,1
490,45,1,1,1,1
491,45,2,2,1,1
492,45,1,1,1,1
493,45,1,1,1,1
494,45,1,1,1,1
495,45,1,1,1,1
496,45,1,1,1,1
497,45,1,1,1,1
498,45,2,2,1,1
499,45,1,1,1,1
500,45,1,1,1,1
501,45,1,1,1,1
502,45,1,1,1,1
