variable_names,ptotals,sex,sex,age,age,age,age,age,age,age,age,age
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9
geo,,,,,,,,,,,,
46,7112.885,3601.627068,3511.260678,742.7297314,1157.340669,348.4009567,532.5955289,1968.676984,1289.992293,651.3507628,292.6461211,129.1546996
47,9071.21,4593.229818,4477.983684,659.8295353,1378.388152,533.3537201,679.8555507,2313.52174,1732.351502,1151.033502,466.3012683,156.5785314
48,364.025,184.3249671,179.7001735,7.136712354,22.90530385,13.1855828,59.2160037,150.1103342,79.59338319,26.1684506,4.010161679,1.699208204
49,268.38,135.8948827,132.4852209,10.72568987,43.0693789,19.95398019,18.08881069,75.64874958,53.25464326,35.83834638,8.673617321,3.126887417
50,49.51,25.06951204,24.44050708,4.809468489,7.887219215,1.845154469,4.998694897,13.59707329,10.17888852,3.418184768,1.111679719,1.66365574
51,51303.78277,24353.11851,26950.66425,5678.7693,10102.96909,3191.985432,3524.366705,11056.21517,9003.703539,5619.093266,2254.32462,872.355641
52,17379.32136,8249.697196,9129.624166,2515.942291,3067.51941,1020.118289,1275.812243,3709.599218,3004.494765,1607.192543,842.3226618,336.3199427
53,48341.22699,22946.83874,25394.38825,5084.773748,6669.57451,2491.403203,4817.986111,14243.92184,8250.811783,4306.245733,1732.123943,744.3861256
54,22713.92793,10781.95308,11931.97485,2611.167806,4270.582279,1543.110052,1635.383858,4754.405796,3996.131931,2368.226823,1098.962087,435.9572985
55,110145.7653,52284.5048,57861.2605,9763.870979,14738.17657,5328.999695,10960.37677,32555.81945,21752.9322,9840.140172,3836.027253,1369.422201
56,102202.0429,48513.74168,53688.30126,10609.65059,18686.10138,6413.777695,8129.220672,24480.35248,18797.30233,9578.195658,3943.216558,1564.225567
57,1064.09,538.8046266,525.2857842,0.58797127,1.173160164,7.088667273,136.4684155,530.5612059,272.1749102,89.55151021,23.10178806,3.38278225
58,61.51,31.14574198,30.36428177,0.583643764,0.322001865,0.045269974,5.29333993,22.62608852,17.38948265,10.56821011,4.492339631,0.1896473
60,0,0,0,0,0,0,0,0,0,0,0,0
61,4193.32,2123.298045,2070.023574,465.6278488,1246.565165,367.2849521,307.0359734,723.1208643,436.3748884,396.5582467,195.3734163,55.38026339
62,0,0,0,0,0,0,0,0,0,0,0,0
63,7456.82,3775.779413,3681.043465,735.6961278,1797.683519,595.6390006,561.9613449,1289.447701,980.1574298,843.2553264,453.757721,199.2247084
64,2526.095,1279.094506,1247.001469,190.0882656,275.1910539,108.6466776,193.1079054,710.7792731,479.4946318,313.1497409,195.9227144,59.71571243
65,5269.92,2668.437141,2601.484893,438.9304415,681.6262854,274.6044709,406.3453365,1386.780197,943.4601414,630.4946714,382.8943576,124.7861327
66,15545.585,7871.545754,7674.045247,1082.099958,2077.674287,992.24519,1378.681485,3701.785784,2776.445282,2177.415489,1052.834285,306.4092412
67,4956.76,2509.867794,2446.894119,331.0915702,594.5781612,284.0757697,478.4600968,1271.327857,923.4272598,626.3536562,346.3294316,101.1181109
68,4039.895,2045.610914,1994.285646,295.3274291,741.3652221,356.6571594,424.2467206,784.0013514,630.8169692,521.1423017,216.7444587,69.5949474
69,1377.040541,570.5032742,806.5372663,127.755872,318.5365171,95.27123644,73.89383013,206.0133181,286.6099164,190.5050772,62.94653216,15.50824094
70,28685.95946,11884.49673,16801.46273,1921.229477,3722.227018,1336.445535,2172.78448,8052.293901,6826.173477,2933.932818,1329.54367,391.3290838
71,50469,21958,28511,4098.11512,6796.421487,2622.336798,4731.567223,14345.1933,10506.52636,4618.392467,1957.510064,792.9371847
72,482.2100157,247.2451354,234.9648803,32.39381787,40.9776068,23.79912168,67.82660609,153.1061054,86.09966352,53.08373878,13.91179587,11.01155968
73,1347.398532,690.8561032,656.5424285,144.1387967,205.2416307,93.99275664,136.5267106,298.0498841,238.6976217,142.7246222,59.45566701,28.57084201
74,28169.36733,13609.89104,14559.47628,1985.880905,3529.460746,1096.192733,2524.07053,8955.589511,6264.407487,2748.968914,802.3492728,262.4472262
75,5163.489414,2494.714471,2668.774943,194.0794707,296.9477632,130.3766663,497.5729752,1918.120945,1373.035244,579.2663446,135.4002996,38.68970602
76,574.1432604,277.3944876,296.7487728,59.9512793,59.79765488,18.01622896,54.92565011,184.4149708,120.6445706,51.25874546,17.34791215,7.786248098
77,324.0322581,149.1827774,174.8494807,25.69450864,49.13166289,9.66027678,23.10473384,90.75919007,77.74625378,28.18363899,13.5109574,6.241035672
78,1192.460298,549.0025597,643.4577381,154.4503284,198.3725305,57.1188986,112.681668,292.0264987,216.9280393,96.9915899,41.91175625,21.978988
79,2586.507444,1190.814663,1395.692781,215.3356153,342.9863569,124.8531484,259.9737838,735.5891133,507.8876022,271.6282963,83.90853371,44.34499426
80,11493.60409,5893.153619,5600.450471,537.5640148,753.3328889,360.9430569,1503.157474,4583.003491,2542.021436,845.3218137,303.3245545,64.93536055
81,5388.037523,2557.618742,2830.418781,469.4079483,634.1483378,339.0158605,545.3066723,1595.805242,1036.517152,451.9848442,202.7048978,113.1465688
82,1177.850813,603.9233408,573.927472,53.73814903,77.52513852,60.11209917,153.8703693,445.0686552,246.1073708,93.30443047,30.48927322,17.63532708
83,567.7304577,269.4929375,298.2375202,45.61357174,60.97954281,30.12782604,63.03291737,164.8642149,122.4100868,47.4083084,24.90452203,8.389467608
84,684.7338752,351.0858633,333.6480119,40.55501843,74.73942529,27.83678256,69.2731945,213.3789691,142.3914654,81.94925643,30.54621606,4.063547395
85,345.2100157,177.0006725,168.2093432,28.81347373,30.30225824,21.43831754,57.44305779,112.8708912,55.45088374,24.89673848,11.72689911,2.267495869
86,8578.992659,4398.735265,4180.257393,665.0853617,1284.030273,521.3643528,678.9524533,2040.853275,1981.542489,1030.684591,320.8359866,55.64387594
90,36026.0145,17577.52095,18448.49356,2335.991731,4353.536687,1503.733465,3002.468137,11827.07008,8036.287173,3446.827054,1086.564293,433.5358838
91,34181.72969,16677.67245,17504.05724,2568.191834,3359.003487,989.2062597,3174.254584,12471.60429,7443.244851,2914.422962,1004.298881,257.5025455
92,8684.761232,4237.398296,4447.362936,584.6514479,1232.265104,451.0163016,904.1243695,2500.448192,1902.334781,819.4345943,249.1959057,41.2905352
93,44.5,21.71207926,22.78792074,0.477188555,8.311756414,0.238594278,7.0068631,19.22375701,4.294696996,2.234977549,2.712166104,0
94,54.71920559,26.69815121,28.02105439,1.279374433,3.877954302,1.47852944,4.868946946,22.32085931,11.70759114,8.343808845,0.779549598,0.062591574
95,93.27536447,45.51015969,47.76520479,0.61559541,1.833373273,0.964332266,14.09723191,40.01828088,28.33198721,6.395178877,0.965732832,0.053651824
96,334.531619,158.7970268,175.7345923,31.02666313,43.2488646,19.02246575,46.46614388,94.47323083,51.14790951,31.37035781,12.60282157,5.173161932
97,42.63311213,20.2372842,22.39582793,1.705324485,4.662654293,2.957329808,2.244985397,10.07006862,12.73595756,3.41064897,3.680479426,1.165663573
98,1,0.487911893,0.512088107,0,0,0,0.069701699,0.069701699,0.209105097,0.139403398,0,0
