variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
23,455.3417203,8.474101494,16.94820299,17.51314309,5.649400996,5.649400996,9.039041594,5.084460897,0,18.64302329,41.24062727,25.98724458,64.40317136,34.46134608,18.64302329,77.39679365,106.2087387,222.5863993,147.449366,40.11074707,44.63026787,0,0.5649401,0
24,1016.861779,34.77110946,29.36227021,35.54380078,45.58878796,11.59036982,30.13496153,24.72612228,0,29.36227021,84.22335403,56.40646646,125.1759941,74.95105818,80.35989743,135.2209812,219.4443353,526.2027899,284.3504063,104.3133284,101.2225631,0,0.772691321,0
25,2888.254993,215.9013672,74.64674931,89.57609918,210.1593096,113.6927413,50.53010723,32.15552278,16.07776139,16.07776139,174.5585522,122.8800335,164.2228485,191.7847252,112.5443297,249.2053016,1054.241783,1327.563726,805.0364811,302.0322318,315.8131702,110.2475067,27.56187667,0
26,1355.910639,77.86197273,8.898511169,54.50338091,122.3545286,40.04330026,22.24627792,40.04330026,25.58321961,94.54668118,35.59404468,63.40189208,256.94451,97.88362286,81.19891442,151.2746899,183.5317929,860.9309556,355.9404468,139.039237,0,0,0,0
27,2723.894392,272.7876693,159.2920697,191.1504836,46.79204547,255.8628869,107.522147,192.1460591,109.5132979,96.57081724,208.075266,198.1195117,221.0177467,146.349589,49.77877178,237.9425291,230.973501,1447.566683,813.3851308,222.0133221,204.0929643,36.83629111,0,0
28,5324.618136,198.8652899,214.4904198,343.7528582,151.2796669,142.0466356,132.1033711,129.9726716,193.8936576,98.01217858,256.3941773,364.3496204,578.8400401,388.4975484,303.9798002,411.9352433,1416.204957,2764.227529,1690.354964,546.169314,100.1428781,134.9443038,0,88.77914726
29,3250.935942,213.6815319,96.74139005,156.2745532,38.27131914,38.27131914,61.6593475,145.6436312,93.55211345,103.1199432,241.321929,244.5112056,313.6121985,261.5206808,153.0852766,392.2810212,697.3884821,1893.367205,927.0163969,270.0254184,106.3092198,44.64987233,0,9.567829785
30,2204.24358,217.5169532,227.2083026,81.83806159,92.60622759,48.45674699,156.138407,16.152249,15.0754324,60.30172959,124.9107256,111.9889264,203.5183374,132.4484418,86.14532799,185.2124552,444.7252557,1067.12525,765.6166025,211.0560536,118.449826,41.99584739,0,0
31,3922.893176,144.1916403,99.06295899,116.6741517,40.72588314,132.0839453,25.31608952,102.3650576,53.93427767,97.96225945,147.4937389,362.1301501,410.56093,347.821056,452.3875127,299.3902761,1090.793248,2519.501257,1028.053374,253.1608952,122.1776494,0,0,0
32,4268.601582,228.2554974,70.49066832,62.65837184,53.70717587,78.3229648,43.63708039,81.6796633,227.1365979,25.73468844,177.9050201,446.4408994,737.3547687,394.9715225,183.4995175,448.6786984,1008.128447,2760.32506,1211.768155,192.4507135,96.22535676,7.83229648,0,0
