hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
5068,3307,10,3,1,1
5087,2100,12,2,1,1
5107,3803,3,1,1,1
5121,3806,5,1,1,1
5122,3103,16,2,1,1
5182,3210,16,5,1,1
5195,1600,14,3,1,1
5230,2002,14,6,1,1
5270,4109,11,7,1,1
5288,3810,16,1,1,1
5299,1203,13,2,1,1
5332,3309,16,2,1,1
5339,4011,3,2,1,1
5358,1000,4,2,1,1
5402,2801,4,2,1,1
5416,2802,2,1,1,1
5417,1400,12,2,1,1
5431,3901,7,3,1,1
5441,3208,9,2,1,1
5456,2500,3,1,1,1
5458,3308,14,7,1,1
5476,4111,6,1,1,1
5488,904,5,2,1,1
5501,1204,11,1,1,1
5509,401,10,2,1,1
5561,1900,14,2,1,1
5562,1500,12,2,1,1
5565,2801,11,1,1,1
5566,3806,15,2,1,1
5568,1802,3,1,1,1
5574,2401,6,1,1,1
5595,903,10,2,1,1
5616,403,7,2,1,1
5686,4017,2,4,1,1
5690,3709,3,1,1,1
5708,3208,11,2,1,1
5709,200,2,4,1,1
5733,3802,1,1,1,1
5745,4009,2,1,1,1
5806,2500,11,3,1,1
5834,905,12,2,1,1
5861,1900,7,1,1,1
5862,3710,7,5,1,1
5882,4013,10,2,1,1
5888,800,13,4,1,1
5894,800,2,1,1,1
6070,4105,6,1,1,1
6135,1203,12,4,1,1
6144,4015,12,2,1,1
6165,1204,6,1,1,1
6198,3301,13,6,1,1
6221,1204,10,2,1,1
6241,704,9,4,1,1
6286,905,16,3,1,1
6291,3302,10,2,1,1
6432,4104,1,3,1,1
6444,4017,15,3,1,1
6456,703,6,1,1,1
6466,3705,2,1,1,1
6467,3304,16,2,1,1
6485,4112,12,1,1,1
6493,3801,2,1,1,1
6501,3101,2,1,1,1
6503,4110,12,6,1,1
6557,1801,11,2,1,1
6567,3302,5,1,1,1
6611,2500,1,1,1,1
6669,4112,14,7,1,1
6691,4101,14,3,1,1
6702,1500,11,2,1,1
6713,3003,16,5,1,1
6750,3205,12,3,1,1
6761,1500,5,5,1,1
6834,2901,12,3,1,1
6835,3307,12,2,1,1
6838,4103,13,3,1,1
6851,4009,14,1,1,1
6862,4018,4,1,1,1
6890,3301,12,3,1,1
6915,1205,3,1,1,1
6924,2600,6,2,1,1
6925,3806,16,2,1,1
6962,4102,12,1,1,1
6981,3312,13,5,1,1
6988,402,2,1,1,1
7013,1600,10,2,1,1
7033,4015,6,4,1,1
7131,4011,2,1,1,1
7143,3902,10,1,1,1
7156,3704,2,4,1,1
7182,4002,10,6,1,1
7192,3104,12,3,1,1
7259,3310,4,3,1,1
7263,4012,11,4,1,1
7302,3805,16,4,1,1
7322,2901,13,2,1,1
7325,4110,3,4,1,1
7346,3301,15,2,1,1
7354,703,8,2,1,1
7383,2801,16,2,1,1
7417,2600,3,1,1,1
7418,2500,3,1,1,1
7478,1101,2,3,1,1
7483,1500,7,2,1,1
7489,4114,7,1,1,1
7505,906,10,1,1,1
7551,3308,14,2,1,1
7555,3708,1,5,1,1
7584,4110,11,4,1,1
7590,1000,4,1,1,1
7629,3202,6,1,1,1
7637,703,5,3,1,1
7664,2701,7,2,1,1
7682,4105,10,1,1,1
7716,3003,13,3,1,1
7727,403,12,5,1,1
7755,1400,10,2,1,1
7786,2002,6,1,1,1
7803,500,13,5,1,1
7810,300,10,3,1,1
7829,4002,8,2,1,1
7870,3307,12,3,1,1
7880,200,9,1,1,1
7896,3306,7,2,1,1
7908,1900,12,4,1,1
7917,701,2,6,1,1
7928,3901,14,4,1,1
7962,2802,9,2,1,1
7988,702,11,2,1,1
7997,3106,3,2,1,1
8036,1101,10,2,1,1
8045,1900,2,1,1,1
8050,4005,4,5,1,1
8150,3710,3,2,1,1
8229,4005,13,3,1,1
8241,1207,6,2,1,1
8266,3105,10,5,1,1
8330,2402,12,6,1,1
8366,3805,13,1,1,1
8386,2300,8,5,1,1
8387,3106,11,3,1,1
8389,903,5,2,1,1
8411,4104,13,2,1,1
8436,4106,3,1,1,1
8485,3311,10,4,1,1
8524,4006,11,1,1,1
8603,2801,16,2,1,1
8630,4101,14,2,1,1
8656,2701,6,3,1,1
8663,3706,2,3,1,1
8665,3202,14,2,1,1
8688,902,1,4,1,1
8707,4112,3,5,1,1
8749,4101,9,3,1,1
8760,3901,12,1,1,1
8774,4112,8,3,1,1
8781,3304,15,2,1,1
8800,904,12,3,1,1
8840,3709,7,1,1,1
8873,4017,12,2,1,1
8880,3901,15,4,1,1
8884,906,12,2,1,1
8896,3201,14,3,1,1
8934,3302,1,2,1,1
8940,402,4,1,1,1
8971,3106,5,3,1,1
8987,2100,9,1,1,1
9006,4015,11,5,1,1
9007,100,9,4,1,1
9008,4114,3,2,1,1
9017,4112,10,3,1,1
9025,1300,4,1,1,1
9028,3902,13,3,1,1
9063,4014,13,6,1,1
9071,905,15,2,1,1
9073,3807,4,1,1,1
9078,4001,2,1,1,1
9082,800,12,4,1,1
9088,3303,13,2,1,1
9120,4002,10,5,1,1
9164,1600,7,3,1,1
9203,2903,3,2,1,1
9216,2903,2,3,1,1
9280,3212,16,2,1,1
9282,701,1,2,1,1
9285,4013,15,2,1,1
9358,2402,3,1,1,1
9436,4009,12,2,1,1
9442,200,11,2,1,1
9467,4017,14,4,1,1
9508,100,2,1,1,1
9530,4103,2,2,1,1
9558,3809,12,1,1,1
9584,3809,11,1,1,1
9629,4016,12,3,1,1
9647,1500,16,3,1,1
9712,3704,15,2,1,1
9717,300,12,4,1,1
9721,3708,12,2,1,1
