hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
2736,4101,9,2,1,1
2746,4006,8,3,1,1
2754,3705,10,6,1,1
2767,3201,16,6,1,1
2771,3206,1,4,1,1
2774,3710,6,2,1,1
2810,3312,11,2,1,1
2814,3702,1,1,1,1
2817,4018,12,2,1,1
2818,4113,9,5,1,1
2821,3805,15,2,1,1
2825,4111,1,2,1,1
2857,3901,1,1,1,1
2866,4112,11,6,1,1
2879,4112,13,5,1,1
2890,3809,13,2,1,1
2893,4113,9,2,1,1
2899,3809,12,1,1,1
2928,3209,11,1,1,1
2942,4007,5,2,1,1
2956,4004,12,1,1,1
2987,4013,16,4,1,1
3002,4004,16,2,1,1
3012,3702,7,1,1,1
3069,4007,11,1,1,1
3076,3302,14,1,1,1
3098,3707,7,1,1,1
3101,4111,12,2,1,1
3128,4110,13,6,1,1
3129,4018,8,2,1,1
3144,4014,13,7,1,1
3160,4014,16,2,1,1
3187,4009,10,4,1,1
3212,2801,10,4,1,1
3213,3211,15,4,1,1
3234,4017,11,7,1,1
3273,4014,11,2,1,1
3289,4107,4,2,1,1
3341,3105,8,1,1,1
3357,4001,12,4,1,1
3360,3310,12,2,1,1
3381,4112,12,5,1,1
3398,4013,7,5,1,1
3400,4105,15,3,1,1
3407,4104,14,3,1,1
3415,3201,16,2,1,1
3423,3210,12,2,1,1
3426,3202,14,4,1,1
3445,4004,16,3,1,1
3459,3208,1,5,1,1
3462,4002,15,1,1,1
3473,3309,8,1,1,1
3474,4113,7,3,1,1
3479,3307,9,2,1,1
3486,3106,15,3,1,1
3489,4007,11,7,1,1
3491,3201,16,2,1,1
3502,3204,11,1,1,1
3516,4005,15,2,1,1
3546,3102,13,2,1,1
3552,3708,1,3,1,1
3565,3203,13,2,1,1
3566,3802,16,3,1,1
3596,3210,13,4,1,1
3631,4007,2,3,1,1
3644,3201,13,1,1,1
3650,3106,4,4,1,1
3666,3105,16,2,1,1
3702,3304,5,2,1,1
3703,3902,3,4,1,1
3736,3205,12,3,1,1
3737,4101,15,3,1,1
3794,4101,13,2,1,1
3803,3002,15,3,1,1
3811,3308,16,2,1,1
3829,3104,3,1,1,1
3830,4016,13,3,1,1
3833,4112,12,7,1,1
3880,3802,13,2,1,1
3902,4107,13,2,1,1
3951,3703,16,3,1,1
3952,4014,12,5,1,1
3956,4009,11,1,1,1
3960,3208,9,1,1,1
3990,4104,16,3,1,1
3992,3208,16,5,1,1
3995,3302,16,2,1,1
4044,4105,1,1,1,1
4046,4016,4,4,1,1
4063,3103,16,5,1,1
4089,4010,3,2,1,1
4095,3203,15,4,1,1
4096,4007,4,3,1,1
4098,3903,14,5,1,1
4102,3204,15,2,1,1
4130,3801,7,2,1,1
4144,4016,10,2,1,1
4149,4105,10,3,1,1
4162,4013,15,2,1,1
4169,3209,12,2,1,1
4171,2802,11,5,1,1
4182,4007,6,5,1,1
4190,3001,9,1,1,1
4200,3805,12,1,1,1
4209,3803,7,1,1,1
4218,4001,14,2,1,1
4254,3801,10,2,1,1
4263,3203,1,2,1,1
4269,3306,11,4,1,1
4311,3301,16,2,1,1
4343,4106,14,4,1,1
4383,3101,15,5,1,1
4394,4102,5,3,1,1
4420,3107,10,1,1,1
4430,4017,12,3,1,1
4431,2903,15,4,1,1
4438,3302,16,3,1,1
4442,3708,11,5,1,1
4456,3706,4,2,1,1
4460,4018,14,3,1,1
4461,4004,16,3,1,1
4478,4004,16,3,1,1
4479,4008,15,5,1,1
4483,3308,13,2,1,1
4494,4101,5,1,1,1
4515,4102,15,3,1,1
4517,3103,15,3,1,1
4530,3310,12,2,1,1
4574,3003,11,1,1,1
4577,4114,14,3,1,1
4581,3107,16,2,1,1
4621,2902,13,6,1,1
4622,4109,9,1,1,1
4640,4110,4,1,1,1
4649,4008,6,2,1,1
4657,4101,2,1,1,1
4658,4009,9,2,1,1
4672,3306,13,2,1,1
4706,4013,12,1,1,1
4710,3106,5,2,1,1
4735,4013,6,1,1,1
4747,4009,13,3,1,1
4749,3203,6,2,1,1
4752,4112,12,3,1,1
4756,4109,13,1,1,1
4757,4015,1,1,1,1
4769,4109,4,1,1,1
4775,3212,9,2,1,1
4784,3710,14,4,1,1
4787,2903,8,3,1,1
4788,3102,15,3,1,1
4795,3201,16,2,1,1
4803,4016,5,3,1,1
4824,3101,5,1,1,1
4836,3104,5,2,1,1
4838,3205,15,5,1,1
4843,3810,15,2,1,1
4855,3208,10,2,1,1
4866,4105,13,4,1,1
4869,4110,13,2,1,1
4890,3703,15,5,1,1
4900,4112,13,2,1,1
4916,2903,3,7,1,1
4923,4010,2,1,1,1
4952,4104,2,1,1,1
4957,4011,1,4,1,1
4968,3207,15,2,1,1
4976,4010,4,1,1,1
4977,3902,11,2,1,1
5002,3307,16,4,1,1
