variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
27,2723.894392,713.094994,0,205.5769352,0,179.8798183,0,167.0312599,64.24279225,0,167.0312599,0,379.0324743,250.5468898,385.4567535,0,212.0012144,1527.528947,859.2350326,0,161.1065686,131.2720189,44.75182461,0
28,5324.618136,215.0326555,81.91720209,209.9128304,46.07842618,0,0,0,0,271.3507319,148.4749288,378.8670597,819.1720209,834.5314963,189.4335298,767.9737696,1361.873485,3469.768491,1190.425892,0,230.7026922,433.7210614,0,0
29,3250.935942,197.9149277,73.30182508,0,87.9621901,0,0,0,0,219.9054752,0,348.1836691,109.9527376,373.8393079,47.6461863,846.6360797,945.5935436,2132.967021,286.847289,470.7237564,360.397876,0,0,0
30,2204.24358,178.1589824,77.70764125,47.38270808,24.6390082,94.76541616,0,20.84839155,70.12640796,115.6138077,267.2384736,272.9243985,257.761932,221.7510738,28.42962485,83.39356622,443.5021476,746.4569892,1128.467331,144.9004744,184.4187856,0,0,0
31,3922.893176,0,211.7993968,0,0,184.1733886,0,0,0,0,0,709.0675459,488.0594797,672.2328682,294.6774217,506.4768185,856.4062568,2437.911346,1024.39923,341.4664101,43.67593617,75.44025339,0,0
32,4268.601582,434.7649759,0,0,0,0,0,0,0,0,118.5722662,395.2408872,513.8131534,671.9095082,0,1383.343105,750.9576857,2953.629531,741.7791058,384.3764458,188.8164997,0,0,0
33,3644.912831,202.7767917,0,0,0,0,0,0,55.76361773,0,0,947.9815014,547.4973377,846.5931055,334.5817064,0,709.7187711,2389.550566,901.5342907,43.62262697,310.2053474,0,0,0
34,3481.505007,314.2369501,92.7256574,37.77711968,84.13994838,166.562755,15.45427623,33.48426517,83.28137748,101.3113664,277.3184013,364.0340624,333.1255099,491.9611268,310.8026665,275.6012595,499.6882649,2182.56786,888.048866,251.8347531,159.0535282,0,0,0
35,2967.339452,322.7632386,260.2929344,145.7640433,0,0,93.70545638,0,135.3523259,114.5288911,72.88202163,114.5288911,239.4694996,93.70545638,145.7640433,229.0577823,999.524868,1516.099665,1021.54309,271.6007422,158.0959544,0,0,0
36,1471.182554,0,0,57.4990486,29.7408872,130.8599037,0,0,0,29.7408872,25.77543558,35.68906465,388.6142595,71.37812929,41.63724209,130.8599037,529.3877922,632.8950921,570.7997246,267.487737,0,0,0,0
37,735.0808041,0,0,0,0,0,0,0,15.60681113,20.28885446,17.16749224,20.28885446,14.04613001,31.21362225,0,14.04613001,602.4229095,134.8072063,244.1790906,226.3743653,111.9154165,17.80472536,0,0
38,55.84189375,2.735385476,10.34109143,0,0,0,0,3.669419541,4.470020168,0.60045047,3.602702822,3.602702822,0,5.203904077,0,2.134935006,19.48128193,27.21468346,14.03109978,8.28682403,6.309286477,0,0,0
39,1091.728562,38.65894341,0,0,0,21.64900831,0,0,0,0,47.93708983,0,34.0198702,179.3774974,38.65894341,57.21523625,674.2119731,290.5578951,743.4863787,32.04682667,0,25.63746134,0,0
40,4026.906035,107.2054851,0,214.4109702,180.9092561,0,154.1078849,140.7071992,368.5188551,0,127.3065136,247.9126843,328.3167982,140.7071992,207.7106274,388.6198835,1420.472678,1712.592222,2314.313813,0,0,0,0,0
41,4065.405225,120.9163933,91.50429766,26.14408505,0,29.41209568,35.94811694,29.41209568,0,101.3083296,137.2564465,176.4725741,656.8701368,336.605095,124.184404,549.025786,1650.345369,2378.981597,1128.779548,400.2445409,157.3995386,0,0,0
42,5098.586808,0,0,0,831.3712977,735.7268122,353.1488698,125.0735581,0,0,125.0735581,0,0,117.7162899,117.7162899,1118.304754,1574.455378,2953.984066,1649.694417,170.1247368,324.7835884,0,0,0
43,3332.985254,0,0,0,0,0,420.7755471,0,476.1407506,0,0,155.02257,265.7529771,498.2868321,298.9720992,143.9495293,1074.084949,2089.460299,850.1650205,241.091573,152.2683619,0,0,0
44,3964.866176,0,0,0,786.9200044,0,0,0,0,0,0,0,0,242.1292321,0,242.1292321,2693.687707,2178.228949,1218.829232,567.8079956,0,0,0,0
45,2937.324163,184.2471128,0,0,35.43213707,155.9014031,63.77784673,0,0,0,42.51856448,287.0003103,265.741028,212.5928224,109.8396249,513.7659875,1066.507326,1644.248188,971.8486805,234.1148082,0,87.11248677,0,0
46,2130.901254,195.5899701,0,97.79498507,254.7816716,30.88262687,48.89749254,59.19170149,56.61814925,38.60328358,120.9569552,0,167.2808955,48.89749254,128.6776119,223.8990448,658.8293731,989.3470106,665.9066418,386.860049,88.78755224,0,0,0
47,1221.647447,0,0,56.57022356,0,0,0,65.99859415,0,0,65.99859415,84.85533534,72.73314458,161.6292102,74.08005466,215.5056136,424.2766767,706.7381924,328.1284465,30.28877967,68.99110926,87.50091906,0,0
