variable_names,gqrtotals
variable_categories,1
region,
1,10734.3658
2,11109.18048
3,9472.196446
4,23880.91568
5,6917.862535
6,9186.911456
7,4140.694652
8,24193.0971
9,7774.072944
10,7157.082669
11,3686.902786
12,2003.356107
13,1811.137326
14,19924.60387
