variable_names,hhrtotals
variable_categories,1
region,
1,337381.9037
2,168421.6338
3,251646.1768
4,286130.1434
5,188640.2153
6,182961.8583
7,117935.2949
8,282574.8326
9,235823.2267
10,222689.1456
11,47696.96629
12,42592.5149
13,55526.22797
14,133253.3925
