region,sample_geo,name
1,-1,Bergen
2,-1,Passaic
3,-1,Hudson
4,-1,Essex
5,-1,Union
6,-1,Morris
7,-1,Somerset
8,-1,Middlesex
9,-1,Monmouth
10,-1,Ocean
11,-1,Hunterdon
12,-1,Warren
13,-1,Sussex
14,-1,Mercer
