variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
5027,524.8020597,74.53710414,0,22.81748086,88.22759265,16.7328193,0,38.02913476,97.354585,21.29631547,0,68.45244258,76.05826953,0,21.29631547,0,0,255.7656015,110.9926195,63.94140038,59.11563432,34.98680398,0,0
5028,1241.456323,236.6311776,284.6433006,144.036369,102.8831207,116.6008701,0,0,85.73593392,34.29437357,0,106.3125581,54.87099771,48.01212299,27.43549885,0,0,779.367731,304.2625589,89.48898791,17.89779758,30.91437764,0,19.52487009
5029,1168.369769,270.6861404,146.3914841,41.43155211,146.3914841,41.43155211,22.09682779,55.24206947,121.5325528,116.0083459,127.0567598,55.24206947,0,0,0,0,24.85893126,224.6864941,280.8581176,232.1760439,337.0297412,67.40594823,26.21342431,0
5030,625.2960712,195.5103619,82.58627355,0,15.16890739,50.56302462,30.33781477,18.5397757,0,91.01344432,60.67562955,21.910644,21.910644,11.79803908,10.11260492,6.741736617,8.427170771,121.3261034,99.54962327,105.7714747,220.8757266,57.55212595,20.22101723,0
5031,1530.757265,236.4103884,295.5129856,41.37181798,41.37181798,141.8462331,0,47.28207769,265.961687,76.83337624,147.7564928,41.37181798,195.0385705,0,0,0,0,83.19332963,707.1433018,307.8153196,282.8573207,149.7479933,0,0
5032,1423.157617,359.6991778,88.62153656,109.4736628,0,41.7042525,192.8821678,203.3082309,0,0,104.2606312,0,250.225515,72.98244187,0,0,0,302.7330895,193.4995005,371.3942026,433.8133963,102.9916696,18.72575811,0
5033,1401.840705,97.56400511,0,51.34947638,46.21452874,25.67473819,0,46.21452874,128.3736909,30.80968583,41.0795811,277.2871724,256.7473819,92.42905748,46.21452874,20.53979055,241.342539,368.1355591,621.6858779,177.9728199,153.5929816,21.94185451,58.51161204,0
5034,1163.294314,229.0109016,204.6911598,70.93258014,50.66612867,0,36.47961264,62.82599955,50.66612867,24.31974176,93.22567675,12.15987088,16.21316117,38.50625779,66.87928984,184.4247084,22.29309661,397.9190044,405.5346791,241.7976725,36.17445494,34.27053626,0,47.59796703
5035,2243.351164,0,0,72.3661666,72.3661666,0,0,42.21359718,217.0984998,180.9154165,162.8238748,60.30513883,192.9764443,741.7532076,199.0069581,102.518736,199.0069581,766.2760546,655.3220558,235.7772476,350.1985589,162.9636858,72.81356175,0
5036,2588.482113,79.99723969,217.1353649,0,0,68.56906259,194.2790107,0,0,142.8522137,131.4240366,97.13950534,628.5497404,171.4226565,297.1326046,188.5649221,371.4157557,704.2994809,718.8211197,319.4760532,406.6058859,246.8678593,192.4117139,0
5037,2213.913525,112.4715427,59.19554879,29.5977744,71.03465855,94.71287806,153.9084269,230.8626403,0,23.67821952,147.988872,349.2537379,242.70175,230.8626403,136.1497622,47.35643903,284.1386342,922.1814376,572.9730256,206.8127489,315.3046827,111.8823068,54.24596692,30.51335639
