variable_names,rpsex,rpsex,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpworker,rpworker,prtotals
variable_categories,1,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,1
region
1.0,449967.4737313878,476385.70124086563,54947.83997729306,62427.129067318674,66105.13431073334,62836.68401273904,53666.09897651427,54072.827608828535,55863.72107344536,58718.987795543966,66115.32492085287,73347.929467596,72934.81964928405,62676.13125797134,50443.76926229451,40088.85873875537,29373.187480680972,22374.94486794672,18571.997927976357,21787.788576479004,448203.4911443461,478149.6838279074,926353.1749722535
2.0,418201.0018358383,450688.9063461466,47078.69847262664,50776.621540514825,54822.71058411463,60947.67169998386,60811.98354316689,58848.38246226736,54111.83176478342,52204.30097156027,56828.72510439286,63377.12056920485,65769.68386848539,60256.26720679896,50870.56741502819,40471.45632747884,28801.465847275984,21931.49795574925,18524.856771470822,22456.06607708182,424632.93393230933,444256.9742496756,868889.9081819849
