variable_names,hhtotals,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7
geo,,,,,,,,,,,,,,,,,,,,,,,,
5030,625,195.5103619,82.58627355,0,15.16890739,50.56302462,30.33781477,18.5397757,0,91.01344432,60.67562955,21.910644,21.910644,11.79803908,10.11260492,6.741736617,8.427170771,121.33,99.55,105.77,220.88,57.55,20.22,0
5031,1531,236.4103884,295.5129856,41.37181798,41.37181798,141.8462331,0,47.28207769,265.961687,76.83337624,147.7564928,41.37181798,195.0385705,0,0,0,0,83.19,707.14,307.82,282.86,149.75,0,0
5032,1423,359.6991778,88.62153656,109.4736628,0,41.7042525,192.8821678,203.3082309,0,0,104.2606312,0,250.225515,72.98244187,0,0,0,302.73,193.5,371.39,433.81,102.99,18.73,0
5033,1402,37.19968351,45.03119583,50.90483007,0,74.39936703,84.18875743,72.44148895,54.82058623,0,105.7254163,84.18875743,158.5881245,223.1981011,119.4305629,121.3884409,170.3353929,368.14,621.69,177.97,153.59,21.94,58.51,0
5034,1163,229.0109016,204.6911598,70.93258014,50.66612867,0,36.47961264,62.82599955,50.66612867,24.31974176,93.22567675,12.15987088,16.21316117,38.50625779,66.87928984,184.4247084,22.29309661,397.92,405.53,241.8,36.17,34.27,0,47.6
5035,2243,65.53610143,141.15468,90.74229429,0,0,0,40.32990857,55.45362429,0,100.8247714,549.4950043,458.75271,156.2783957,186.5258272,131.0722029,267.1856443,766.28,655.32,235.78,350.2,162.96,72.81,0
5036,2588,117.6582779,187.3817018,348.6171196,174.3085598,87.15427989,78.4388519,78.4388519,74.08113791,0,52.29256794,135.0891338,174.3085598,331.1862636,139.4468478,69.72342392,540.3565353,704.3,718.82,319.48,406.61,246.87,192.41,0
5037,2214,129.7531736,0,0,64.87658681,0,64.87658681,64.87658681,0,0,129.7531736,583.8892813,348.7116541,291.9446406,243.2872005,154.0818937,137.862747,922.18,572.97,206.81,315.3,111.88,54.25,30.51
5038,2506,0,0,0,176.6526689,0,0,0,220.8158361,0,414.0296927,485.7948394,645.8863206,358.8257337,0,121.4487099,82.80593854,757.56,738.62,492.41,397.72,0,119.95,0
5039,1367,27.82352695,35.77310608,0,23.84873739,222.5882156,0,29.81092173,95.39494955,0,83.47058086,99.36973911,272.2730852,143.0924243,81.48318607,174.8907408,77.50839651,280.48,536.41,150.76,252.43,101.67,0,45.58
5040,1508,61.34743891,259.8244472,259.8244472,57.73876603,28.86938302,28.86938302,0,25.26071014,90.21682193,75.78213042,169.6076252,90.21682193,28.86938302,32.47805589,147.955588,151.5642608,303.83,486.13,325.28,142.98,250.21,0,0
5041,1662,140.6057237,70.30286185,162.9748161,38.34701555,19.17350778,35.15143092,59.11831565,70.30286185,17.57571546,107.0520851,249.2556011,94.26974657,94.26974657,55.92273102,231.6798856,215.7019625,86.48,756.72,154.43,444.77,219.3,0,0
5042,1623,214.1630585,0,0,0,67.63043952,174.7119688,0,90.17391936,78.90217944,0,135.260879,140.896749,259.2500181,157.8043589,0,304.3369778,193.74,406.37,493.79,387.47,141.76,0,0
5043,874,0,45.58242077,0,105.0377522,11.89106629,114.9469741,0,53.5097983,51.52795392,130.8017292,116.9288185,41.61873201,110.9832854,27.74582134,0,63.41902021,180.83,400.83,177.81,114.52,0,0,0
5044,1118,33.80310679,0,33.80310679,0,33.80310679,31.69041261,0,0,0,116.1981796,86.62046114,59.15543688,71.83160192,23.23963592,166.9028398,460.56733,161.07,432.25,190.65,205.44,128.2,0,0
5045,1486,29.98842902,0,26.65638135,29.98842902,0,0,29.98842902,0,0,0,0,0,46.64866736,46.64866736,123.2857637,1152.888493,77.34,676.75,138.11,397.76,196.12,0,0
5046,2804,73.45890157,0,0,0,0,0,104.0667772,0,0,91.82362697,0,165.2825285,85.70205184,281.592456,165.2825285,1836.472539,206.15,1123.53,608.15,484.46,381.38,0,0
5047,866,0,0,0,0,17.51765465,0,0,0,0,15.01513256,32.5327872,30.03026511,15.01513256,22.52269883,20.02017674,713.2187964,60.08,148.44,333.98,220.89,102.49,0,0
5048,1781,46.59819261,0,0,0,0,96.78086158,0,60.93609803,46.59819261,89.61190887,46.59819261,200.7306759,146.9635305,215.0685813,329.7718246,501.8266897,297.76,595.51,227.1,439.06,222.05,0,0
5049,787,23.79419415,37.17842836,20.81991988,19.33278275,22.30705702,7.435685672,22.30705702,52.0497997,0,19.33278275,59.48548538,74.35685672,77.33113099,56.51121111,130.8680678,163.5850848,113.38,304.27,134.2,144.61,90.24,0,0
5050,1127,16.32972518,0,79.60741025,36.74188165,0,36.74188165,14.28850953,57.15403813,26.53580342,42.8655286,277.605328,108.1844293,128.5965858,44.90674424,155.1323892,102.0607824,325.66,339.93,149.76,261.48,35.66,14.26,0
5051,1068,77.10294281,100.2338257,11.56544142,28.91360355,15.42058856,57.82720711,52.0444864,46.26176569,188.9022099,138.7852971,161.9161799,92.52353137,48.18933926,48.18933926,0,0,189.24,54.07,265.84,401.02,67.59,90.12,0
5052,712,12.76374544,124.446518,82.96434536,25.52749088,105.3008999,47.8640454,38.29123632,19.14561816,0,9.57280908,156.3558816,25.52749088,63.8187272,0,0,0,79.85,176.13,46.97,239.54,129.16,39.92,0
